成交股數_d1,成交金額_d1,開盤價_d1,最高價_d1,最低價_d1,收盤價_d1,漲跌價差_d1,成交筆數_d1,成交股數_d2,成交金額_d2,開盤價_d2,最高價_d2,最低價_d2,收盤價_d2,漲跌價差_d2,成交筆數_d2,成交股數_d3,成交金額_d3,開盤價_d3,最高價_d3,最低價_d3,收盤價_d3,漲跌價差_d3,成交筆數_d3,TIME,status,emotional_score_d1,emotional_score_d2,emotional_score_d3,positive_score_d1,positive_score_d2,positive_score_d3,negative_score_d1,negative_score_d2,negative_score_d3
,,,,,,,,,,,,,,,,,,,,,,,,2018-03-01,0,,,,,,,,,
42073991.0,3698227165.0,87.8,88.3,87.5,87.9,-0.2,"16,467",,,,,,,,,,,,,,,,,2018-03-02,0,0.0,,,0.0,,,0.0,,
28180553.0,2461227316.0,87.2,87.8,87.0,87.8,-0.1,"13,846",42073991.0,3698227165.0,87.8,88.3,87.5,87.9,-0.2,"16,467",,,,,,,,,2018-03-05,0,0.0,0.0,,0.0,0.0,,0.0,0.0,
31341174.0,2738562304.0,87.7,88.1,87.0,87.0,-0.8,"15,273",28180553.0,2461227316.0,87.2,87.8,87.0,87.8,-0.1,"13,846",42073991.0,3698227165.0,87.8,88.3,87.5,87.9,-0.2,"16,467",2018-03-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35392520.0,3124639407.0,88.3,88.8,87.8,88.2,1.2,"14,546",31341174.0,2738562304.0,87.7,88.1,87.0,87.0,-0.8,"15,273",28180553.0,2461227316.0,87.2,87.8,87.0,87.8,-0.1,"13,846",2018-03-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44181640.0,3940688349.0,88.6,90.1,88.3,88.5,0.3,"21,638",35392520.0,3124639407.0,88.3,88.8,87.8,88.2,1.2,"14,546",31341174.0,2738562304.0,87.7,88.1,87.0,87.0,-0.8,"15,273",2018-03-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33448190.0,2990943927.0,89.4,89.9,88.6,89.4,0.9,"14,864",44181640.0,3940688349.0,88.6,90.1,88.3,88.5,0.3,"21,638",35392520.0,3124639407.0,88.3,88.8,87.8,88.2,1.2,"14,546",2018-03-09,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87372802.0,8001130684.0,91.0,92.3,90.3,91.9,2.5,"38,336",33448190.0,2990943927.0,89.4,89.9,88.6,89.4,0.9,"14,864",44181640.0,3940688349.0,88.6,90.1,88.3,88.5,0.3,"21,638",2018-03-12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88739231.0,8336163178.0,93.9,94.5,93.2,94.3,2.4,"35,226",87372802.0,8001130684.0,91.0,92.3,90.3,91.9,2.5,"38,336",33448190.0,2990943927.0,89.4,89.9,88.6,89.4,0.9,"14,864",2018-03-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86118224.0,8235473275.0,95.0,96.5,94.8,95.2,0.9,"35,406",88739231.0,8336163178.0,93.9,94.5,93.2,94.3,2.4,"35,226",87372802.0,8001130684.0,91.0,92.3,90.3,91.9,2.5,"38,336",2018-03-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49836069.0,4670636869.0,94.1,94.4,93.3,93.3,-1.9,"22,895",86118224.0,8235473275.0,95.0,96.5,94.8,95.2,0.9,"35,406",88739231.0,8336163178.0,93.9,94.5,93.2,94.3,2.4,"35,226",2018-03-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41628707.0,3886535793.0,92.8,94.7,92.3,93.4,0.1,"16,211",49836069.0,4670636869.0,94.1,94.4,93.3,93.3,-1.9,"22,895",86118224.0,8235473275.0,95.0,96.5,94.8,95.2,0.9,"35,406",2018-03-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71628333.0,6668268394.0,94.1,94.1,92.8,92.8,-0.6,"17,413",41628707.0,3886535793.0,92.8,94.7,92.3,93.4,0.1,"16,211",49836069.0,4670636869.0,94.1,94.4,93.3,93.3,-1.9,"22,895",2018-03-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29752391.0,2763669263.0,92.6,93.5,92.4,92.9,0.1,"11,077",71628333.0,6668268394.0,94.1,94.1,92.8,92.8,-0.6,"17,413",41628707.0,3886535793.0,92.8,94.7,92.3,93.4,0.1,"16,211",2018-03-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27906678.0,2584515023.0,92.7,92.9,92.4,92.6,-0.3,"11,074",29752391.0,2763669263.0,92.6,93.5,92.4,92.9,0.1,"11,077",71628333.0,6668268394.0,94.1,94.1,92.8,92.8,-0.6,"17,413",2018-03-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28202714.0,2608174566.0,92.2,92.9,92.2,92.4,-0.2,"11,232",27906678.0,2584515023.0,92.7,92.9,92.4,92.6,-0.3,"11,074",29752391.0,2763669263.0,92.6,93.5,92.4,92.9,0.1,"11,077",2018-03-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25353175.0,2354104044.0,93.0,93.4,92.4,92.8,0.4,"9,287",28202714.0,2608174566.0,92.2,92.9,92.2,92.4,-0.2,"11,232",27906678.0,2584515023.0,92.7,92.9,92.4,92.6,-0.3,"11,074",2018-03-23,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58645094.0,5331385445.0,91.0,91.6,90.4,90.4,-2.4,"28,472",25353175.0,2354104044.0,93.0,93.4,92.4,92.8,0.4,"9,287",28202714.0,2608174566.0,92.2,92.9,92.2,92.4,-0.2,"11,232",2018-03-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32305086.0,2905271284.0,89.7,90.3,89.7,90.2,-0.2,"15,108",58645094.0,5331385445.0,91.0,91.6,90.4,90.4,-2.4,"28,472",25353175.0,2354104044.0,93.0,93.4,92.4,92.8,0.4,"9,287",2018-03-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30083466.0,2740851377.0,91.0,91.5,90.7,91.2,1.0,"11,166",32305086.0,2905271284.0,89.7,90.3,89.7,90.2,-0.2,"15,108",58645094.0,5331385445.0,91.0,91.6,90.4,90.4,-2.4,"28,472",2018-03-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23082576.0,2088647728.0,90.9,90.9,90.1,90.1,-1.1,"10,705",30083466.0,2740851377.0,91.0,91.5,90.7,91.2,1.0,"11,166",32305086.0,2905271284.0,89.7,90.3,89.7,90.2,-0.2,"15,108",2018-03-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30403437.0,2739496880.0,90.0,90.6,89.7,90.0,-0.1,"12,989",23082576.0,2088647728.0,90.9,90.9,90.1,90.1,-1.1,"10,705",30083466.0,2740851377.0,91.0,91.5,90.7,91.2,1.0,"11,166",2018-03-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34489126.0,3160650158.0,90.9,92.3,90.9,91.4,1.4,"14,874",30403437.0,2739496880.0,90.0,90.6,89.7,90.0,-0.1,"12,989",23082576.0,2088647728.0,90.9,90.9,90.1,90.1,-1.1,"10,705",2018-03-31,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136508837.0,12140468093.0,90.1,90.5,88.0,88.5,-2.9,"80,522",34489126.0,3160650158.0,90.9,92.3,90.9,91.4,1.4,"14,874",30403437.0,2739496880.0,90.0,90.6,89.7,90.0,-0.1,"12,989",2018-04-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
