成交股數_d1,成交金額_d1,開盤價_d1,最高價_d1,最低價_d1,收盤價_d1,漲跌價差_d1,成交筆數_d1,成交股數_d2,成交金額_d2,開盤價_d2,最高價_d2,最低價_d2,收盤價_d2,漲跌價差_d2,成交筆數_d2,成交股數_d3,成交金額_d3,開盤價_d3,最高價_d3,最低價_d3,收盤價_d3,漲跌價差_d3,成交筆數_d3,TIME,status,emotional_score_d1,emotional_score_d2,emotional_score_d3,positive_score_d1,positive_score_d2,positive_score_d3,negative_score_d1,negative_score_d2,negative_score_d3
,,,,,,,,,,,,,,,,,,,,,,,,2018-03-01,0,,,,,,,,,
859927.0,3297706395.0,3710.0,3920.0,3700.0,3900.0,205.0,"1,059",,,,,,,,,,,,,,,,,2018-03-02,0,0.0,,,0.0,,,0.0,,
513175.0,1982831092.0,3850.0,3900.0,3835.0,3870.0,-30.0,589,859927.0,3297706395.0,3710.0,3920.0,3700.0,3900.0,205.0,"1,059",,,,,,,,,2018-03-05,-1,0.0,0.0,,0.0,0.0,,0.0,0.0,
717682.0,2674892720.0,3860.0,3860.0,3675.0,3700.0,-170.0,920,513175.0,1982831092.0,3850.0,3900.0,3835.0,3870.0,-30.0,589,859927.0,3297706395.0,3710.0,3920.0,3700.0,3900.0,205.0,"1,059",2018-03-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081391.0,3997475330.0,3715.0,3750.0,3655.0,3655.0,-45.0,"1,302",717682.0,2674892720.0,3860.0,3860.0,3675.0,3700.0,-170.0,920,513175.0,1982831092.0,3850.0,3900.0,3835.0,3870.0,-30.0,589,2018-03-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725611.0,2638466458.0,3620.0,3690.0,3600.0,3690.0,35.0,988,1081391.0,3997475330.0,3715.0,3750.0,3655.0,3655.0,-45.0,"1,302",717682.0,2674892720.0,3860.0,3860.0,3675.0,3700.0,-170.0,920,2018-03-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436676.0,1622951340.0,3700.0,3760.0,3685.0,3715.0,25.0,583,725611.0,2638466458.0,3620.0,3690.0,3600.0,3690.0,35.0,988,1081391.0,3997475330.0,3715.0,3750.0,3655.0,3655.0,-45.0,"1,302",2018-03-09,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633785.0,2412122250.0,3790.0,3860.0,3750.0,3860.0,145.0,824,436676.0,1622951340.0,3700.0,3760.0,3685.0,3715.0,25.0,583,725611.0,2638466458.0,3620.0,3690.0,3600.0,3690.0,35.0,988,2018-03-12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766482.0,3051251460.0,3995.0,4015.0,3940.0,3955.0,95.0,893,633785.0,2412122250.0,3790.0,3860.0,3750.0,3860.0,145.0,824,436676.0,1622951340.0,3700.0,3760.0,3685.0,3715.0,25.0,583,2018-03-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759652.0,3068243560.0,4015.0,4085.0,4010.0,4045.0,90.0,"1,000",766482.0,3051251460.0,3995.0,4015.0,3940.0,3955.0,95.0,893,633785.0,2412122250.0,3790.0,3860.0,3750.0,3860.0,145.0,824,2018-03-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572843.0,2286694455.0,4000.0,4035.0,3960.0,3960.0,-85.0,634,759652.0,3068243560.0,4015.0,4085.0,4010.0,4045.0,90.0,"1,000",766482.0,3051251460.0,3995.0,4015.0,3940.0,3955.0,95.0,893,2018-03-15,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810527.0,3113118680.0,3870.0,3895.0,3785.0,3785.0,-175.0,895,572843.0,2286694455.0,4000.0,4035.0,3960.0,3960.0,-85.0,634,759652.0,3068243560.0,4015.0,4085.0,4010.0,4045.0,90.0,"1,000",2018-03-16,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902428.0,3360500000.0,3805.0,3840.0,3690.0,3690.0,-95.0,973,810527.0,3113118680.0,3870.0,3895.0,3785.0,3785.0,-175.0,895,572843.0,2286694455.0,4000.0,4035.0,3960.0,3960.0,-85.0,634,2018-03-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560452.0,2069900480.0,3710.0,3720.0,3655.0,3710.0,20.0,667,902428.0,3360500000.0,3805.0,3840.0,3690.0,3690.0,-95.0,973,810527.0,3113118680.0,3870.0,3895.0,3785.0,3785.0,-175.0,895,2018-03-20,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1387237.0,4983715761.0,3650.0,3670.0,3550.0,3555.0,-155.0,"1,533",560452.0,2069900480.0,3710.0,3720.0,3655.0,3710.0,20.0,667,902428.0,3360500000.0,3805.0,3840.0,3690.0,3690.0,-95.0,973,2018-03-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745528.0,2720340680.0,3610.0,3695.0,3605.0,3650.0,95.0,893,1387237.0,4983715761.0,3650.0,3670.0,3550.0,3555.0,-155.0,"1,533",560452.0,2069900480.0,3710.0,3720.0,3655.0,3710.0,20.0,667,2018-03-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966628.0,3534418360.0,3705.0,3760.0,3570.0,3595.0,-55.0,"1,123",745528.0,2720340680.0,3610.0,3695.0,3605.0,3650.0,95.0,893,1387237.0,4983715761.0,3650.0,3670.0,3550.0,3555.0,-155.0,"1,533",2018-03-23,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011553.0,3483692850.0,3450.0,3510.0,3400.0,3400.0,-195.0,"1,548",966628.0,3534418360.0,3705.0,3760.0,3570.0,3595.0,-55.0,"1,123",745528.0,2720340680.0,3610.0,3695.0,3605.0,3650.0,95.0,893,2018-03-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
