成交股數_d1,成交金額_d1,開盤價_d1,最高價_d1,最低價_d1,收盤價_d1,漲跌價差_d1,成交筆數_d1,成交股數_d2,成交金額_d2,開盤價_d2,最高價_d2,最低價_d2,收盤價_d2,漲跌價差_d2,成交筆數_d2,成交股數_d3,成交金額_d3,開盤價_d3,最高價_d3,最低價_d3,收盤價_d3,漲跌價差_d3,成交筆數_d3,TIME,status,emotional_score_d1,emotional_score_d2,emotional_score_d3,positive_score_d1,positive_score_d2,positive_score_d3,negative_score_d1,negative_score_d2,negative_score_d3
,,,,,,,,,,,,,,,,,,,,,,,,2018-03-01,0,,,,,,,,,
43847984.0,10669194561.0,244.0,245.0,242.0,243.0,-3.0,"11,589",,,,,,,,,,,,,,,,,2018-03-02,0,-1.0,,,1.0,,,2.0,,
35289170.0,8453712014.0,240.0,241.0,238.5,240.0,-3.0,"10,440",43847984.0,10669194561.0,244.0,245.0,242.0,243.0,-3.0,"11,589",,,,,,,,,2018-03-05,0,0.0,-1.0,,0.0,1.0,,0.0,2.0,
27337846.0,6607367732.0,242.5,243.0,240.5,241.5,1.5,"9,321",35289170.0,8453712014.0,240.0,241.0,238.5,240.0,-3.0,"10,440",43847984.0,10669194561.0,244.0,245.0,242.0,243.0,-3.0,"11,589",2018-03-06,1,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,2.0
36945780.0,9155812210.0,245.5,250.0,245.5,250.0,8.5,"13,977",27337846.0,6607367732.0,242.5,243.0,240.5,241.5,1.5,"9,321",35289170.0,8453712014.0,240.0,241.0,238.5,240.0,-3.0,"10,440",2018-03-07,0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,2.6666666666666665,0.0,0.0
30391219.0,7525601638.0,248.0,248.5,246.0,247.0,-3.0,"10,521",36945780.0,9155812210.0,245.5,250.0,245.5,250.0,8.5,"13,977",27337846.0,6607367732.0,242.5,243.0,240.5,241.5,1.5,"9,321",2018-03-08,0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,2.6666666666666665,0.0
20645694.0,5172732531.0,249.5,251.5,249.0,249.5,2.5,"8,817",30391219.0,7525601638.0,248.0,248.5,246.0,247.0,-3.0,"10,521",36945780.0,9155812210.0,245.5,250.0,245.5,250.0,8.5,"13,977",2018-03-09,0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,2.6666666666666665
22887063.0,5723277170.0,250.0,251.0,248.5,250.5,1.0,"7,050",20645694.0,5172732531.0,249.5,251.5,249.0,249.5,2.5,"8,817",30391219.0,7525601638.0,248.0,248.5,246.0,247.0,-3.0,"10,521",2018-03-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25100615.0,6370529728.0,252.0,255.0,251.5,254.0,3.5,"10,550",22887063.0,5723277170.0,250.0,251.0,248.5,250.5,1.0,"7,050",20645694.0,5172732531.0,249.5,251.5,249.0,249.5,2.5,"8,817",2018-03-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34264883.0,8816553606.0,255.5,259.0,255.0,259.0,5.0,"11,700",25100615.0,6370529728.0,252.0,255.0,251.5,254.0,3.5,"10,550",22887063.0,5723277170.0,250.0,251.0,248.5,250.5,1.0,"7,050",2018-03-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24254838.0,6220805864.0,256.5,257.5,255.5,257.0,-2.0,"8,518",34264883.0,8816553606.0,255.5,259.0,255.0,259.0,5.0,"11,700",25100615.0,6370529728.0,252.0,255.0,251.5,254.0,3.5,"10,550",2018-03-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19396493.0,4965546715.0,258.0,258.0,255.0,255.0,-2.0,"5,945",24254838.0,6220805864.0,256.5,257.5,255.5,257.0,-2.0,"8,518",34264883.0,8816553606.0,255.5,259.0,255.0,259.0,5.0,"11,700",2018-03-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62989326.0,15930805360.0,253.0,256.0,249.5,255.0,0.0,"18,058",19396493.0,4965546715.0,258.0,258.0,255.0,255.0,-2.0,"5,945",24254838.0,6220805864.0,256.5,257.5,255.5,257.0,-2.0,"8,518",2018-03-19,0,-2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
22440766.0,5679567964.0,252.5,255.5,251.0,255.0,0.0,"9,888",62989326.0,15930805360.0,253.0,256.0,249.5,255.0,0.0,"18,058",19396493.0,4965546715.0,258.0,258.0,255.0,255.0,-2.0,"5,945",2018-03-20,0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
22335151.0,5640426203.0,253.0,254.0,251.5,253.0,-2.0,"9,334",22440766.0,5679567964.0,252.5,255.5,251.0,255.0,0.0,"9,888",62989326.0,15930805360.0,253.0,256.0,249.5,255.0,0.0,"18,058",2018-03-21,0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,3.0
32977737.0,8325162114.0,255.0,255.0,251.0,252.5,-0.5,"11,575",22335151.0,5640426203.0,253.0,254.0,251.5,253.0,-2.0,"9,334",22440766.0,5679567964.0,252.5,255.5,251.0,255.0,0.0,"9,888",2018-03-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27000718.0,6797045014.0,254.5,254.5,249.5,251.5,-1.0,"10,475",32977737.0,8325162114.0,255.0,255.0,251.0,252.5,-0.5,"11,575",22335151.0,5640426203.0,253.0,254.0,251.5,253.0,-2.0,"9,334",2018-03-23,0,-1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
52974390.0,12994667867.0,245.0,247.0,244.0,245.0,-6.5,"20,513",27000718.0,6797045014.0,254.5,254.5,249.5,251.5,-1.0,"10,475",32977737.0,8325162114.0,255.0,255.0,251.0,252.5,-0.5,"11,575",2018-03-26,0,-2.0,-1.0,0.0,2.0,2.0,0.0,4.0,3.0,0.0
39487945.0,9582954454.0,241.5,244.5,241.5,243.5,-1.5,"11,404",52974390.0,12994667867.0,245.0,247.0,244.0,245.0,-6.5,"20,513",27000718.0,6797045014.0,254.5,254.5,249.5,251.5,-1.0,"10,475",2018-03-27,1,0.0,-2.0,-1.0,0.0,2.0,2.0,0.0,4.0,3.0
31100260.0,7732298021.0,248.0,251.0,247.0,251.0,7.5,"11,698",39487945.0,9582954454.0,241.5,244.5,241.5,243.5,-1.5,"11,404",52974390.0,12994667867.0,245.0,247.0,244.0,245.0,-6.5,"20,513",2018-03-28,0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,4.0
29924411.0,7349468217.0,247.5,248.0,244.0,245.0,-6.0,"13,041",31100260.0,7732298021.0,248.0,251.0,247.0,251.0,7.5,"11,698",39487945.0,9582954454.0,241.5,244.5,241.5,243.5,-1.5,"11,404",2018-03-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36427345.0,8888435870.0,243.0,247.0,242.5,244.0,-1.0,"12,832",29924411.0,7349468217.0,247.5,248.0,244.0,245.0,-6.0,"13,041",31100260.0,7732298021.0,248.0,251.0,247.0,251.0,7.5,"11,698",2018-03-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
