日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,status
2018-03-01,42073991.0,3698227165.0,87.8,88.3,87.5,87.9,-0.2,"16,467",0
2018-03-02,28180553.0,2461227316.0,87.2,87.8,87.0,87.8,-0.1,"13,846",0
2018-03-05,31341174.0,2738562304.0,87.7,88.1,87.0,87.0,-0.8,"15,273",0
2018-03-06,35392520.0,3124639407.0,88.3,88.8,87.8,88.2,1.2,"14,546",0
2018-03-07,44181640.0,3940688349.0,88.6,90.1,88.3,88.5,0.3,"21,638",0
2018-03-08,33448190.0,2990943927.0,89.4,89.9,88.6,89.4,0.9,"14,864",0
2018-03-09,87372802.0,8001130684.0,91.0,92.3,90.3,91.9,2.5,"38,336",1
2018-03-12,88739231.0,8336163178.0,93.9,94.5,93.2,94.3,2.4,"35,226",1
2018-03-13,86118224.0,8235473275.0,95.0,96.5,94.8,95.2,0.9,"35,406",0
2018-03-14,49836069.0,4670636869.0,94.1,94.4,93.3,93.3,-1.9,"22,895",0
2018-03-15,41628707.0,3886535793.0,92.8,94.7,92.3,93.4,0.1,"16,211",0
2018-03-16,71628333.0,6668268394.0,94.1,94.1,92.8,92.8,-0.6,"17,413",0
2018-03-19,29752391.0,2763669263.0,92.6,93.5,92.4,92.9,0.1,"11,077",0
2018-03-20,27906678.0,2584515023.0,92.7,92.9,92.4,92.6,-0.3,"11,074",0
2018-03-21,28202714.0,2608174566.0,92.2,92.9,92.2,92.4,-0.2,"11,232",0
2018-03-22,25353175.0,2354104044.0,93.0,93.4,92.4,92.8,0.4,"9,287",0
2018-03-23,58645094.0,5331385445.0,91.0,91.6,90.4,90.4,-2.4,"28,472",-1
2018-03-26,32305086.0,2905271284.0,89.7,90.3,89.7,90.2,-0.2,"15,108",0
2018-03-27,30083466.0,2740851377.0,91.0,91.5,90.7,91.2,1.0,"11,166",0
2018-03-28,23082576.0,2088647728.0,90.9,90.9,90.1,90.1,-1.1,"10,705",0
