日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,status
2018-03-01,43847984.0,10669194561.0,244.0,245.0,242.0,243.0,-3.0,"11,589",0
2018-03-02,35289170.0,8453712014.0,240.0,241.0,238.5,240.0,-3.0,"10,440",0
2018-03-05,27337846.0,6607367732.0,242.5,243.0,240.5,241.5,1.5,"9,321",0
2018-03-06,36945780.0,9155812210.0,245.5,250.0,245.5,250.0,8.5,"13,977",1
2018-03-07,30391219.0,7525601638.0,248.0,248.5,246.0,247.0,-3.0,"10,521",0
2018-03-08,20645694.0,5172732531.0,249.5,251.5,249.0,249.5,2.5,"8,817",0
2018-03-09,22887063.0,5723277170.0,250.0,251.0,248.5,250.5,1.0,"7,050",0
2018-03-12,25100615.0,6370529728.0,252.0,255.0,251.5,254.0,3.5,"10,550",0
2018-03-13,34264883.0,8816553606.0,255.5,259.0,255.0,259.0,5.0,"11,700",0
2018-03-14,24254838.0,6220805864.0,256.5,257.5,255.5,257.0,-2.0,"8,518",0
2018-03-15,19396493.0,4965546715.0,258.0,258.0,255.0,255.0,-2.0,"5,945",0
2018-03-16,62989326.0,15930805360.0,253.0,256.0,249.5,255.0,0.0,"18,058",0
2018-03-19,22440766.0,5679567964.0,252.5,255.5,251.0,255.0,0.0,"9,888",0
2018-03-20,22335151.0,5640426203.0,253.0,254.0,251.5,253.0,-2.0,"9,334",0
2018-03-21,32977737.0,8325162114.0,255.0,255.0,251.0,252.5,-0.5,"11,575",0
2018-03-22,27000718.0,6797045014.0,254.5,254.5,249.5,251.5,-1.0,"10,475",0
2018-03-23,52974390.0,12994667867.0,245.0,247.0,244.0,245.0,-6.5,"20,513",0
2018-03-26,39487945.0,9582954454.0,241.5,244.5,241.5,243.5,-1.5,"11,404",0
2018-03-27,31100260.0,7732298021.0,248.0,251.0,247.0,251.0,7.5,"11,698",1
2018-03-28,29924411.0,7349468217.0,247.5,248.0,244.0,245.0,-6.0,"13,041",0
2018-03-29,36427345.0,8888435870.0,243.0,247.0,242.5,244.0,-1.0,"12,832",0
2018-03-30,16996346.0,4212690462.0,247.5,249.5,246.0,246.0,2.0,"7,578",0
2018-03-31,3603912.0,893664176.0,247.5,249.0,246.5,247.5,1.5,"2,409",0
2018-04-02,19029003.0,4702581241.0,248.5,249.0,245.0,246.5,-1.0,"6,951",0
2018-04-03,35813944.0,8710200224.0,243.0,244.5,242.0,244.0,-2.5,"13,270",0
2018-04-09,35465824.0,8716801768.0,248.0,248.0,243.5,245.0,1.0,"12,437",0
2018-04-10,25268994.0,6231896018.0,244.5,249.0,243.5,245.5,0.5,"11,912",0
2018-04-11,21777935.0,5391978180.0,246.5,248.5,246.5,248.0,2.5,"8,813",0
