,TITLE,TIME,DESCRIPTION,CONTENT,year,month,day,hour,status,10,12,2018,2019,7nm,8150,855,ces,computex,facebook,finfet,mashdigi,mwc,qualcomm,sm8150,snapdragon,一款,三星,不過,今年,今年底,仍無法,仍維持,以現,作為,使用,傳聞,先前,全新,公布,分享,刊登,則是,包含,原文,可能,台積電,合作,同時將,名為,名稱,型號,多常,媒體,宣布,將以,將與,就是,常時,年底,廠商,應用,應該,或是,所指,所能,手機,打造,技術,指稱,授權,採用,接下,推出,提交,揭曉,文件,新款,新聞,明年,是否,更多,更多常時,最快,期間,機處,正式,消息,版本,理器,甚至,產品,目前,知曉細節,確定,確認,筆電,筆電產品,等到,維持,網獲,聯合,聯盟,至於,藍牙,規範,認證,資訊,轉載,連接,連網,階段,預期,預計,首波
0,蘋概三王熄火 台股開盤小漲3點,2019-10-30,"市場靜待蘋果財報以及聯準會利率決策會議，台股今日開盤小漲3點，開在11,336.9點，盤面上，蘋概股三王台積電（2330...","台股示意圖。報系資料照 分享   facebook     市場靜待蘋果財報以及聯準會利率決策會議，台股今日開盤小漲3點，開在11,336.9點，盤面上，蘋概股三王台積電（2330）、鴻海與大立光股價熄火，任天堂概念股的旺宏、瑞昱、原相則受惠任天堂進軍中國，站在多方。 
 
周二台股以高盤開出，台積電再次?軍向300元整?叩關，持續帶動指?上揚並且又創波段新高。蘋概、生技及光通訊??點火，但部分中小型股出現獲?回吐，終場指?小漲18點以11,333點做收。 
 
周三?晨美國道瓊指?小跌19點，那斯達克指數下跌0.59%，費半指?下跌0.9%。 
 
籌碼面部分，昨日三大法人合計買超80.64億元，外資及陸資買超69.4億元，投信賣超3.83億元，自營商買超15.07億元；融資餘額1,406.88億元，較前一交易日的1,409.54億元，減少2.66億元。 
 
大型法人機構表示，從?價結構?看，近期大盤頻頻創下29??新高，惟追價意願並沒有同步增強，使得指?只能碎步向上，無法一氣呵成。 
 
面對籌碼?穩定，?能還是重要關鍵。除?5日線為短線多空強弱依據外，?是今日低點有跌破昨日低點時，持股至少減碼三分之一應對，操作則?忌追高?低。",2019,10,30,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
1,台股續創29年半新高 資金行情升溫,2019-10-29,美國聯準會可望降息，資金行情帶動股市上漲，台股在10月22日收11271點，創29年半新高後驚驚漲；今天早盤開高後，盤中...,"美國聯準會可望降息，資金行情帶動股市上漲，台股在10月22日收11271點，創29年半新高後驚驚漲；今天早盤開高後，盤中衝上11373點。法人認為，資金行情可望持續。 
10時30分止，加權指數來到11354.61點，上漲39.59點，成交值新台幣662.47億元。八大類股中泥窯、造紙、紡織表現弱勢，機電類股表現相對強勢。 
東貝高掛漲停，來到7.15元。電池族群興能高也來到76.3元漲停價。 
晶圓代工龍頭台積電盤中來到298.5元，上漲1.36%。股王大立光來到4385元，上漲1.27%。明天將舉行法人說明會的面板廠友達光電在平盤8.2元之上整理。 
凱基投顧分析師表示，台股目前走的是資金行情，在沒有壞消息情況下，美中貿易戰緩和，加上市場預期美國聯準會將再降息，企業公布獲利數據不差，台股在高檔驚驚漲。指數上週創29年半新高之後，雖續創新高，但距歷史高點12682點仍遠，從技術面來看，所謂續創高點都不是技術面的峰頂，也不會形成壓力。 
分析師直言，台股基本面當然沒有好到可以持續大漲，但既然走資金行情，全球股市都漲，台股也不會缺席，在外資持續買超下，台股除了類股輪動，更有個股輪動，資金流向傳產股、中小型股之際，前一陣子漲橡膠、資產股，後來漲汽車股，電子股類也輪動，台積電漲完換聯發科，再輪到蘋概股。 
分析師表示，台股創高後驚驚漲，未見拉回前，投資人都有機會，但仍應適度做好資金配置。",2019,10,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
2,台積電再創新高 台股改寫逾29年來新高,2019-10-30,電子金融尾盤上揚，台積電再創新高價，台股收在今天最高點，更續創逾29年來新高。法人表示，加權指數只要不跌破5日均線，仍屬...,"台股。圖／聯合報系資料照片 分享   facebook     電子金融尾盤上揚，台積電再創新高價，台股收在今天最高點，更續創逾29年來新高。法人表示，加權指數只要不跌破5日均線，仍屬強勢整理格局。 
台股今天在平盤附近高檔整理，力守5日均線約10329點，盤中電子跌幅收斂，金融撐盤，加權指數翻紅，尾盤電子翻紅上揚，金融有撐，台股不僅站穩5日均線之上，更收在今天最高點，再創1990年3月下旬以來波段高點。 
加權股價指數終場收在11380.28點，漲46.41點，漲幅0.41%，成交值來到新台幣1231.03億元。電子股漲0.29%，金融股漲0.4%。 
蘋概股今天漲跌互見，股王大立光終場收在4320元，小漲0.12%，晶圓代工龍頭台積電拉尾盤收在299.5元，小漲0.34%，再創歷史新高價。 
鴻海收在80.2元，小跌0.74%。日月光投控收在77.6元，小跌0.89%。可成收在259.5元，小漲0.58%。聯發科收在396.5元，小漲0.89%。 
金控股國泰金收在40.85元，小跌0.73%，富邦金收在平盤45.45元。中信金收在21.1元，小跌0.24%。 
台新中國通基金經理人魏永祥表示，台股近期利多不斷，從產業面來看，iPhone新機銷售優於預期，近期傳出蘋果對供應鏈上修iPhone 11備貨量，有助供應鏈第4季營運表現。 
從大環境來看，美中貿易戰持續釋出正面訊息，協議內重要部分有機會提前簽署，加上美國聯準會（Fed）再次降息機率升高，資金行情持續發燒，台股後市仍有可為，加權指數只要不跌破5日均線，仍屬強勢整理格局。 
不過，從短線來看，魏永祥指出，台股短線漲多，已來到相對高檔，獲利了結賣壓加大，預期短期有拉回修正的壓力，但籌碼結構相對穩定、2020年企業獲利恢復成長、資金寬鬆環境等，台股即使拉回修正，幅度不至於太大，業績與展望佳的個股仍有表現機會。",2019,10,30,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
3,台積電再飆高台股收漲46.41點 三大法人買超63.04億元,2019-10-30,"台股今（30）日開小紅震盪收最高，盤中一度翻黑下滑至11,306.95點，權王台積電（2330）尾盤翻紅收最高，再創歷史...","台股今（30）日開小紅震盪收最高，盤中一度翻黑下滑至11,306.95點，權王台積電（2330）尾盤翻紅收最高，再創歷史天價，加上金融股、電子股尾盤助攻，終場以11,380.28點作收，上漲46.41點，成交量1,231.03億元；三大法人買超63.04億元。 
 
統計三大法人買賣超情況，外資及陸資（不含外資自營商）買超72.12億元，投信買超1.21億元，自營商賣超（合計）10.28億元，其中自營商（自行買賣）賣超1.88億元，自營商（避險）賣超8.4億元。 
 
台股今日以11,336.97點小紅開出，台積電開平後一度下探至296.5元，壓抑大盤表現，但在午盤過後買單進場敲進，終場收在299.5元的新天價，加上股王大立光也收紅，還有尾盤金融股上揚，大盤收在今日最高點，也再創逾29年的新高，終場收11,380.28點，漲幅0.41%。",2019,10,30,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
4,"漲多電子股拉回 台股漲18.85點收11,333",2019-10-29,美中協議進度超前，並可望提前簽署，加上企業財報表現不俗，美股昨夜全數收漲，在市場樂觀氛圍延續下，激勵台股今日以高點開出後...,"台股今日以高點開出後，在權值股的領軍下，指數持續向上挺進，盤中以11373.95點再創高。圖／聯合報系資料照片 分享   facebook      
美中協議進度超前，並可望提前簽署，加上企業財報表現不俗，美股昨夜全數收漲，在市場樂觀氛圍延續下，激勵台股今日以高點開出後，在權值股的領軍下，指數持續向上挺進，盤中以11373.95點再創高，惟盤中仍受到獲利了結賣壓影響，漲多電子股出現拉回，使得指數收斂漲勢並一度翻黑，終場以11,333.87點作收，小漲18.85點，成交量1453.4億元。 
 
由於美國總統川普表示，美中協議進度超前並可望提前簽屬，而且美國貿易代表署公告將延長豁免340億美元關稅品項，激勵股市全面走揚；加上企業財報表現良好，科技股表現強勢，帶動標普500、費半指數均創歷史新高。而今早亞洲主要股市表現則漲跌互見，日股開高持穩，盤中走揚近0.5%表現最為強勢，台、韓股則開高收斂漲幅，港股開低翻黑小跌，陸股則開低走低近0.4%。 
 
觀察台股盤中台灣50成分股表現，電子股部分，台股三王台積電、鴻海持續引領多頭，股價開高持穩盤中分別走揚0.85%及0.75%，大立光則開高翻黑小跌0.35%，其餘如聯發科、聯電、和碩皆有逾1%的漲勢，南亞科、研華、光寶科、國巨等也呈現小漲;金融族群方面則以彰銀走揚逾1%表現最為強勁，玉山金、國泰金、上海商銀等呈現小漲格局;傳產族群部分的正新、統一、台塑、和泰車等也呈現紅盤格局。 
 
國泰證期顧問處協理簡伯儀指出，台股指數今日開高創新高後出現拉回，拉回過程中量能有放大的狀況，若整體量能高於1300億以上，顯示高檔調節賣壓大，不利於指數後續上漲。今日盤中主要是漲多電子股走跌，後續觀察漲多股票能否止穩，投資人高檔需要有戒心，加上K線連三天收黑，KD開口擴大跡象，建議短線上進行減碼動作。",2019,10,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
5,前三季賺逾半個股本 上市櫃17強出列！,2019-10-29,季報公布邁入最後倒數，觀察截至目前已公布自結數字的台股上市櫃公司中，共計有17檔，今年前三季賺逾半個股本，每股獲利以大立光的150.37元、鈊象23.13元、可成19.62元，暫居前三強。,"報系資料照 分享   facebook      
季報公布邁入最後倒數，觀察截至目前已公布自結數字的台股上市櫃公司中，共計有17檔，今年前三季賺逾半個股本，每股獲利以大立光的150.37元、鈊象23.13元、可成19.62元，暫居前三強。 
 
兆豐國際投顧董事長李秀利表示，台股近期頻創新高點，但在創高之後，法人與散戶的觀望氣氛相對較濃，隨著季報的公布進入高峰期，上市櫃公司的營運狀況也將會慢慢現形，只要是季報業績表現優異的個股，股價應可望有抗震表現。 
 
「短線受到國際股市多空震盪劇烈、美股財報，以及國內重量級法說、第3季財報即將公布等因素的交互影響，台股盤勢變數仍多，季報表現不佳的個股仍將修正，但季報結果也將使前三季獲利耀眼者，有機會突圍勝出。」李秀利說。 
 
根據統計，截至目前，在已自結第3季財報的公司中，計有17檔，前三季每股獲利超過5元，主要分布在光學鏡片、晶圓代工、IC 設計、LCD零組件、電腦週邊、網通等電子類股，以及文創、紡織、生技等傳產族群。 
 
觀察今年前三季的每股獲利表現，除大立光、鈊象、可成暫居前三名之外，其他前三季每股賺逾8元的上市櫃個股，還包括崑鼎14.61元、瑞儀10.98元、美律10.24元、華研9.29元、聚陽8.88元、台積電8.84元、中租-KY 8.65元等。 
 
另外，旭富、裕融、豐泰、中碳、鈺齊-KY、博大、力旺等，前三季的每股稅前盈餘也都超過5元。 
 經濟日報提供 分享   facebook      
統一投顧董事長黎方國指出，今年前三季高獲利的上市櫃個股，普偏也是當前中高價位的產業指標股，原因在於這些優質股不乏基本面獲利的成長題材，且具產業的指標意義，進而推升股價位居高檔表現。 
 
由於這些高獲利的族群，兼具基本面與題材性的雙重優勢，趁大盤目前處在震盪回檔期，這些個股除了成為市場資金避險的好去處外，也可能是年底法人衝刺作帳績效的利器。 
 
整體而言，上市櫃公司在11月中旬之前將全數公布季報，個股股價走勢也將反應財報數字表現，個股獲利若是不錯，將顯現出產業循環處於正面的上升期，在短線台股盤面反應業績題材之際，投資人可伺機逢低布局。",2019,10,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
6,"台積電尾盤翻紅攻新高價 台股上漲46點收11,380",2019-10-30,台股受惠摩台指數結算，今（30）日午盤過後追價買盤進場，台積電（2330）尾盤奮力翻紅，收在全場最高點299.5元，大立...,"台股。 圖／聯合報系資料照片 分享   facebook     台股受惠摩台指數結算，今（30）日午盤過後追價買盤進場，台積電（2330）尾盤奮力翻紅，收在全場最高點299.5元，大立光也收在紅盤上，小漲0.1%，唯獨鴻海因波段漲多回檔較弱勢，終場加權指數收在11,380.28點，上漲46.41點、漲幅0.41%，成交金額為1,231.03億元。 
 
國泰證期顧問處經理蔡明翰表示，外資動向參考指標還是在於全球的資金流，只要新台幣維持強勢，指數多頭格局就不易改變，值得留意的是，大盤目前在高檔震盪，指數需要一段時間的整理，才以機會向上攻擊。 
 
從盤面來看，權值股今日漲多於跌，尤以金融族群漲勢較為凌厲，玉山金、彰銀、上海商銀與華南金等都有0.9～1.8%漲幅，非金電的遠東新、和泰車、台塑化、正新等也站在多方表態，多數電子權值股雖早盤表現疲弱，但受到摩台結算影響，包括台積電、可成、聯發科與台達電等則在盤中翻紅。 
 
元富投顧協理湯建源表示，目前指數拉到波段高點，在美中正式簽署貿易協定前，都是全球股市的空窗期，加上聯準會可能在本周降息1碼，預期在全球經濟、股市在資金寬鬆以及經濟恢復溫和成長條件下，台股有機會想上挑戰11,500高點。",2019,10,30,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
7,蘋果利多不斷 蘋概三王填息猛,2019-10-29,iPhone 11買氣爆棚，加上傳出10月底、下季還有新品問世，激勵蘋果股價、市值再創高點，引動法人搶補台系大型蘋概股，帶動今年台積電、大立光分別六天、12天填完息，落後補漲的鴻海則花了64天。,"路透 分享   facebook     iPhone 11買氣爆棚，加上傳出10月底、下季還有新品問世，激勵蘋果股價、市值再創高點，引動法人搶補台系大型蘋概股，帶動今年台積電、大立光分別六天、12天填完息，落後補漲的鴻海則花了64天。 
iPhone 11銷售優於預期，日前傳出蘋果追加訂單一成，加上10月底將發表新筆電等多樣新產品，明年第1季還有平價版iPhone SE2問市，華爾街券商紛紛唱多蘋果，激勵蘋果股價29日收249.05美元，市值達1.12兆美元，雙雙再創高峰。 
蘋果將在台灣時間10月31日公布財報，法人除預期本季展望偏向樂觀，更押寶明年下半年5G手機帶動新一輪成長，近期強力回補大型蘋概股，自9月來至昨日止，累計買超台積電、鴻海、大立光各24.7萬、23.4萬、2,858張。 
台積電獨吃A13晶片，加上5G、高效能運算等需求，帶動7奈米先進製程訂單爆滿，加上5奈米完封三星，股價獲法人力拱，蓄勢挑戰300元大關，6月28日除息8元、9月19日除息2元都只六 天就填完息，除息後漲幅達24.1%。 
iPhone最大組裝廠鴻海10月起啟動補漲走勢，主要拜蘋果追加新機訂單及歐美耶誕節銷售旺季將至，激勵市場買盤追捧，昨日盤中一度漲至81.4元，完成填息，距7月25日除息日約64天，後市有機會挑戰81.5元前波高點。 
大立光8月6日除息68元後，短短12日就填完息，累計除息至昨日止，漲幅達13.3%，雖然目前產能滿載且第4季不看淡，並有八家外資目標價上看5,000元，但近期見到部分法人調節，股價陷入盤整。 
法人表示，蘋果即將公布財報，預期季成長率達三成，加上本季手機熱賣、明年還有各項新品將上市，將帶動相關供應鏈業績成長可期，使得近期蘋概股扮演盤面多方要角，推升台股持續盤堅向上。 
如昨（29）日大盤盤中最高一度來到11,373點、再創29年半來新高，終場小漲18點、以11,333點收市，漲幅0.17%，上市櫃成交量共1,973億元（上市為1,467億元）。 
三大法人買超台股41.85億元，其中外資買超64.11億元（連12買、累計買超996億元）、投信賣超5.09億元、自營商賣超17.16億元（其中被動式避險賣超9.33億元）。",2019,10,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
8,台指期 追價意願減弱,2019-10-29,"股期雙市昨（29）日震盪收紅，指數站穩11,300點之上；分析師表示，現階段期現貨逆價差擴大，外資淨多單小減130口至5.7萬口，展望盤勢，因本周仍有蘋果財報和聯準會決議等不確定因素，短線台指期行情可能偏向震盪。","股期雙市昨（29）日震盪收紅，指數站穩11,300點之上；分析師表示，現階段期現貨逆價差擴大，外資淨多單小減130口至5.7萬口，展望盤勢，因本周仍有蘋果財報和聯準會決議等不確定因素，短線台指期行情可能偏向震盪。 
現貨與期貨行情走勢方面，美國貿易代表署周一宣布，考慮在11月1日開始延長豁免中國340億美元規模商品關稅，激勵美股四大指數持續收高，其中那斯達克與標普指數漲幅都超過1%以上。 
台股昨天在台積電跳高走高帶動下，再刷新近期新高，不過大立光開高後持續走低甚至翻黑，接近10時後鴻海也出現賣壓收斂漲幅，讓台股午盤後一度翻黑，所幸低接買盤進場使指數再度站回平盤之上，終場加權指數漲0.17%至11,333點。 
台指期昨天盤初開高呈現，但盤中期指漲幅收斂，甚至在午後一度翻黑，所幸權重電子股撐盤，終場期指收漲15點至11,326點。 
台指期逆價差擴至7.87點，電子期逆價差擴至0.46點，金融期逆價差擴至2.33點。期現貨逆價差擴增，隱含高檔壓力略有升溫。 
永豐期貨表示，就籌碼面分析，現貨部分三大法人買超42.32億元；在台指期淨部位方面，三大法人淨多單減少1,490口至30,077口，其中外資空單加碼超過多單加碼，淨多單減少130口至57,775口。至於十大交易人中特定法人，全月台指期淨多單則增加1,033口至26,083口。 
永豐期貨指出，從技術面觀察，昨天日K開高走低留上下影線漲作收，目前指數連三日收黑K，但指數仍有愈墊愈高跡象，多頭結構仍強，持續等待本周蘋果財報與聯準會利率決議公布後的影響。 
群益期貨表示，外資現貨連12日買超，自營商選擇權中性偏多，月、周選偏多態勢，整體籌碼面偏多格局。技術面上，在台積電續創新高將挑戰300元關卡下，有利摩台指今日結算拉高，台股震盪偏多格局不變。 
期貨分析師認為，台指期連二日收紅但漲幅有限，反應買盤在高檔追價意願減弱；展望盤勢，近期全球貿易局勢稍有好轉，本周仍有蘋果財報和聯準會決議等不確定因素，其他重要美企財報也將陸續公布，短線台指期應傾向震盪。",2019,10,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
9,開高震盪 台股再創29年新高,2019-10-29,"美中協議進度超前，並可望提前簽署，加上企業財報表現不俗，美股昨夜全數收漲，在市場樂觀氛圍延續下，激勵台股今日以高點開出後，在權值股的領軍下，指數持續向上挺進，盤中以11,373.95點再創29年新高，惟盤中仍受到獲利了結賣壓影響，漲多電子股出現拉回，使得指數收斂翻黑。台股收盤漲18.85點，為11,333.87點，漲幅0.17%，成交金額新台幣1,453.38億元。","台股收盤漲18.85點，為11,333.87點，漲幅0.17%，成交金額新台幣1,453.38億元。圖／聯合報系資料照片 分享   facebook      
美中協議進度超前，並可望提前簽署，加上企業財報表現不俗，美股昨夜全數收漲，在市場樂觀氛圍延續下，激勵台股今日以高點開出後，在權值股的領軍下，指數持續向上挺進，盤中以11,373.95點再創高，惟盤中仍受到獲利了結賣壓影響，漲多電子股出現拉回，使得指數收斂翻黑。台股收盤漲18.85點，為11,333.87點，漲幅0.17%，成交金額新台幣1,453.38億元。 
由於美國總統川普表示，美中協議進度超前並可望提前簽署，而且美國貿易代表署公告將延長豁免340億美元關稅品項，激勵股市全面走揚；加上企業財報表現良好，科技股表現強勢，帶動標普500、費半指數均創歷史新高。而今早亞洲主要股市表現則漲跌互見，日股開高持穩，盤中走揚近0.5%表現最為強勢，台、韓股則開高收斂漲幅，港股開低翻黑小跌，陸股則開低走低近0.4%。 
觀察台股盤中台灣50成分股表現，電子股部分，台股三王台積電、鴻海持續引領多頭，股價開高持穩，盤中分別走揚1.3%及1.6%，大立光則開高翻黑小跌0.9%，其餘如聯發科、聯電、和碩皆有逾1%的漲勢，南亞科、研華、光寶科、國巨等也呈現小漲；金融族群方面則以彰銀走揚逾1.3%表現最為強勁，玉山金、國泰金、上海商銀等呈現小漲格局；傳產族群部分的正新、統一、台塑、和泰車等也呈現紅盤格局。 
國泰證期顧問處協理簡伯儀指出，台股指數今日開高創新高後出現拉回，拉回過程中量能有放大的狀況，若整體量能高於1,300億以上，顯示高檔調節賣壓大，不利於指數後續上漲。今日盤中主要是漲多電子股走跌，後續觀察漲多股票能否止穩，投資人高檔需要有戒心，加上K線連三天收黑，KD開口擴大跡象，建議短線上進行減碼動作。",2019,10,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
