,TITLE,TIME,DESCRIPTION,CONTENT,year,month,day,hour,status,10,12,2018,2019,7nm,8150,855,ces,computex,facebook,finfet,mashdigi,mwc,qualcomm,sm8150,snapdragon,一款,三星,不過,今年,今年底,仍無法,仍維持,以現,作為,使用,傳聞,先前,全新,公布,分享,刊登,則是,包含,原文,可能,台積電,合作,同時將,名為,名稱,型號,多常,媒體,宣布,將以,將與,就是,常時,年底,廠商,應用,應該,或是,所指,所能,手機,打造,技術,指稱,授權,採用,接下,推出,提交,揭曉,文件,新款,新聞,明年,是否,更多,更多常時,最快,期間,機處,正式,消息,版本,理器,甚至,產品,目前,知曉細節,確定,確認,筆電,筆電產品,等到,維持,網獲,聯合,聯盟,至於,藍牙,規範,認證,資訊,轉載,連接,連網,階段,預期,預計,首波
0,台股量能 縮至千億元,2019-10-21,"新台幣昨（21）日續強，外資連六個交易日買超台股，持續加碼鴻海、大立光，發揮穩盤功效收小紅，惟成交量縮至近二個月新低1,032億元，陷入「量先價行」的多空疑慮。","台股示意圖。 歐新社 分享   facebook     新台幣昨（21）日續強，外資連六個交易日買超台股，持續加碼鴻海、大立光，發揮穩盤功效收小紅，惟成交量縮至近二個月新低1,032億元，陷入「量先價行」的多空疑慮。 
法人表示，後市「唯量是問」，欲再上攻須放量至1,300億至1,400億元，短線資產、水泥等低基期股表現空間大。 
亞股昨天早盤普遍反映上周五（18日）美股下跌，在台積電領跌下，台股開低走低並回測5日線，所幸新台幣仍升值，接棒台積電代表外資買氣的鴻海與大立光也多持穩盤上，顯示外資仍加碼台股，加上台商回台投資增加，及新台幣升值雙題材的資產營建股撐人氣，終場台股站回5日線小漲3點、收11,184點，成交量則萎縮至8月29日以來最低的1,032億元。",2019,10,21,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
1,選情初探／北市立委3選區 藍綠白三帥對決 話題性十足,2019-10-21,台北市立委選舉第三選區（中山、北松山區）由國民黨現任立委蔣萬安，對上民進黨徵召的吳怡農和台灣民眾黨推派的逢甲大學助理教授何景榮，「三帥對決」的話題性十足；但過去藍營在此區深耕20年，特戰部隊出身的吳怡農想要翻轉藍天變綠地，勢必要加把勁。,"台北市立委選舉第三選區（中山、北松山區）由國民黨現任立委蔣萬安，對上民進黨徵召的吳怡農和台灣民眾黨推派的逢甲大學助理教授何景榮，「三帥對決」的話題性十足；但過去藍營在此區深耕20年，特戰部隊出身的吳怡農想要翻轉藍天變綠地，勢必要加把勁。 
國民黨立委蔣萬安(左一)形象清新。 記者楊正海／攝影 分享   facebook      
藍營蔣萬安在中山區、北松山區，擁有現任立委基礎，之前國民黨在該區當選的立委還包括羅淑蕾，蔣萬安的父親蔣孝嚴也從2001年開始當立委，這裡讓綠營久攻不下。 
面對實力堅強對手，綠營也並非沒勝算，根據陣營評估蔣萬安2016年立委選舉，拿到46.68%得票率，沒有過半，泛綠則因為社民黨李晏榕和民進黨支持無黨籍參選的潘建志分裂，兩人各拿12.34%和38.42%的票，選票總和超過蔣萬安，綠營認為這裡「不再是鐵板一塊」牢不可破。 
民進黨立委參選人吳怡農(中)。 記者楊正海／攝影 分享   facebook      
綠營目前將選戰議題設定為吳、蔣「雙帥」對決，冷處理何景榮。吳怡農日前打出「比蔣萬安更好的男人」競選口號，拉出一波網路聲量，但離投票日逼近，如何再創議題，考驗新人。 
民眾黨立委參選人何景榮(右一)。 記者楊正海／攝影 分享   facebook      
至於柯文哲領軍的民眾黨，派何景榮殺入藍綠，何面對藍綠陣營結合在地議員的綿密組織戰，相對弱勢，目前靠柯文哲扮「母雞」拉抬聲勢。民眾黨評估鴻海創辦人郭台銘與蔣萬安關係不密切，郭未來替何景榮站台的可能性高，何也猛攻國民黨總統參選人韓國瑜，若新黨未來也參戰，推出可能人選蘇恆，勢必削弱一些藍軍的選票。 
對手來勢洶洶，但蔣萬安形象清新，頂著國會優良立委評鑑七連霸，甚至連台北市長柯文哲都曾點名蔣萬安可能是未來的市長人選，堪稱藍營戰將。蔣萬安穩紮穩打之餘，仍有餘力開啟多重戰線，立法院也是最佳表現舞台，舉凡重大議題他都不缺席，連任之路上步步為營，不敢大意。",2019,10,21,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
2,FII搶市 大秀專業雲,2019-10-21,鴻海集團近期積極開拓新專業雲端應用，鴻海子公司工業富聯（FII）昨（21）日也發布新聞稿提到，在大陸展會主打AGV（自動導引）雲、刀具雲、工業機器人等應用場景，目標爭取更多企業夥伴採用並帶動營運表現。,"工業富聯（FII）搶攻專業雲端應用，圖為FII的深圳關燈工廠。 網路照片 分享   facebook     鴻海集團近期積極開拓新專業雲端應用，鴻海子公司工業富聯（FII）昨（21）日也發布新聞稿提到，在大陸展會主打AGV（自動導引）雲、刀具雲、工業機器人等應用場景，目標爭取更多企業夥伴採用並帶動營運表現。 
鴻海昨日股價以77.6元作收，上漲0.7元，市值約1.07兆元。外資買超7,955張。工業富聯昨日股價則以每股人民幣15.28元作收，上漲0.33%，總市值回升至人民幣3032億元（新台幣約1.3兆元）。 
工業富聯在大陸展會上，展示在工業人工智會以及雲端領域的新進展，包含解決製造產業專業問題的AGV雲及刀具雲等專業領域的雲端應用。 
工業富聯說明，刀具雲是FII為精密工具製造領域打造的軟硬結合整體解決方案，基礎是鴻海集團在精密工具製造領域數十年的刀具設計與製造及應用經驗為客戶提供設計、製造、應用全生命週期解決方案。 
此外，工業富聯強調，刀具雲結合大數據分析的模型、AI機器學習、高精度視覺檢測等先進技術，能協助企業生產上下游數據化應用，並實現化繁為簡。 
工業富聯說，專業雲不僅涵蓋刀具，還有模具、衝壓、工業機器人、自動導引車、六流、成形、SMT、CNC、消防、節能及廠務監控系統等場景，主打能夠整廠向外，向企業夥伴推廣「簡單易用、開箱即用、經驗豐富」的智慧化轉型升級解決方案。",2019,10,21,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
3,12檔外資積極作多 本周成長力道延續,2019-10-21,台股在KD高檔鈍化狀態下維持高檔震盪，法人表示，上周外資積極作多的鴻海（2317）、聯電（2303）、新光金（2888）...,"台股在KD高檔鈍化狀態下維持高檔震盪，法人表示，上周外資積極作多的鴻海（2317）、聯電（2303）、新光金（2888）等12檔，因兼具市場人氣及成長力道，多方上攻力道可望延續，為投資人可留意的標的。 
 
上周外資大舉作多台股，總計買超447億元，為近三年來單週最大，也帶動集中市場成交量創半年新高，根據統計，外資上週五資買超台股逾萬張的個股共有24檔，不計KY公司，外資持股比達五成則有46檔。 
 
其中，外資買超鴻海9.7萬張最多，佔整體持股比約四成，其次為群創，外資買超6.1萬張，同樣也是面板龍頭的友達，則獲得外資買超5.3萬張，上周外資買超張數破2萬的個股，依序還有聯電、新光金、台泥、中信金、台積電、日月光投控、華新。 
 
法人表示，外資本月以來買超逾500億，買超趨勢未變前，台股仍可望延續盤堅走勢；若以鴻海為例分析，明年獲利有望優於今年，但股價基期相對低，可望吸引追趕績效的外資買盤，預料低基期個股將持續受到資金青睞。 
 
亦或者是法說會利多鈍化的台積電，外資持股水位雖降到78%，但基本面良好，休息整理後，股價仍有成長空間。 
 
法人也提到，外資上周銀彈狂掃的個股，最大共通點就是基本面獲市場認同，且今年前三季營收動能強勁，顯示法人認為產業前景看俏為投資主軸。",2019,10,21,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
4,精誠取得傑克斯德Red Hat雲平台資源,2019-10-21,資訊服務商精誠（6214）今（21）日宣布延攬擁有雲端領域技術的台灣技術團隊傑克斯德資訊科技（Zechster Information Technology），取得傑克斯德「Red Hat」雲平台相關技術能力、「鷹準」自有雲平台產品等資源。精誠表示，加入精誠的團隊成員，為主要負責研發的高階技術人力，未來將整合集團服務能量，掌握混合雲商機，滿足企業數位轉型需求。,"資訊服務商精誠（6214）今（21）日宣布延攬擁有雲端領域技術的台灣技術團隊傑克斯德資訊科技（Zechster Information Technology），取得傑克斯德「Red Hat」雲平台相關技術能力、「鷹準」自有雲平台產品等資源。精誠表示，加入精誠的團隊成員，為主要負責研發的高階技術人力，未來將整合集團服務能量，掌握混合雲商機，滿足企業數位轉型需求。 
傑克斯德提供AI雲端服務架構、HPC、分散式運算架構、IT服務架構設計、規劃及整合等服務，具備開發產品能力，其所自主研發的雲端服務管理平台「鷹準」，協助企業監控及管理紅帽OpenStack平台、紅帽Ceph儲存及紅帽OpenShift容器平台等套件運作，包含鴻海、富邦金控、中華電信、工研院等上市櫃公司與政府機構，都是其客戶。 
精誠表示，傑克斯德具頂尖「人工智慧（AI）雲端」技術及「高效能運算（HPC）」領域前導技術實?，獲原廠與客戶信賴。將來結合精誠豐富的資訊服務整合能力，可以協助客戶橫跨公、私有雲之間的鴻溝，讓企業IT人員與應用開發人員，在企業資料中心環境既有的工具、系統與控管政策下，充分利用公有雲的部署速度與靈活調度資源的特性。",2019,10,21,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
5,台灣大牽緊Google 林之晨：將再推創新服務,2019-10-21,Google年度旗艦Pixel 4由台灣大哥大獨賣，總經理林之晨表示，上任以來就努力至今，盼雙方合作長長久久，他也預告台...,"台哥大總經理林之晨。記者杜建重／攝影 分享   facebook     Google年度旗艦Pixel 4由台灣大哥大獨賣，總經理林之晨表示，上任以來就努力至今，盼雙方合作長長久久，他也預告台灣大後續每月都會推創新服務，持續往「科技電信業」之路邁進。 
Google年度旗艦新機Pixel 4在全球發表後，台灣大哥大就宣布，10月24日上午11時30分將全台獨家開賣Google Pixel 4，日前Google也與凱擘合作推出A1機上盒，集團合作密切。 
台灣大哥大總經理林之晨坦言，從上任之初就努力到現在，集團與Google本來就一直都在談，他上任之後，「網路人的語言更通」，期望台灣大與Pixel的合作做好，以後的合作「長長久久」，至於是哪方面的合作？他也賣個關子，「下個月就知道了」。 
同時，林之晨預告，接下來台灣大每個月都有「新的合作案和創新服務產品」推出，他表示，「大家會發現我們跟電信同業完全不一樣」，一直往「科技電信業」的路走過去，而有些事是台灣大自己進行，有些是與其他合作夥伴推出，他比喻服務「已經煮半年，現在快要煮熟了」。 
他認為，台灣大和Google是互補的兩家公司，Ｇoogle有很多很強的產品和服務、研發工程團隊，台灣大哥大則有很強的通路和客戶服務團隊，且了解用戶、了解台灣的市場。 
凱擘總經理王鴻紳日前也表示，凱擘新推出的A1機上盒是搭載Android TV的開放平台，提供數千種來自Google Play、YouTube和各種應用服務的影音及遊戲內容，其中，內建的Chromecast還能將電影、節目和相片從行動裝置投放到電視上，未來凱擘也將和Google有全面性的戰略合作。 
此外，為5G備戰，亞太電信將進行150億元私募案，預計11月初召開董事會，討論訂價，亞太電信大股東分別為鴻海集團持股19.6%，台鐵持股近10%，台灣大哥大持股3.45%，大股東是否注資，受到市場關注。 
林之晨表示，「還在評估中」，而評估條件是從「策略價值」和「財務價值」兩方面考量，在財務上會評估未來獲利空間等，策略上則是合法合作的機會，可以讓彼此雙贏，至於持股增加與否、增加多少，以及可接受的價格範圍，他坦言「這部分很敏感，都還在評估中」。",2019,10,21,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
6,郭家軍第二人 黃韻涵：總統唯一支持韓國瑜,2019-10-21,鴻海創辦人郭台銘昨在高雄舉辦第二場感恩之旅，並為代表「郭家軍」投入立委選戰的國民黨高雄第二選區立委參選人黃韻涵授旗。郭表示，未來有兩大目標，一是成立郭台銘政經學校，二是讓中華民國持續以中道力量前進。,"鴻海創辦人郭台銘（前左三）昨在高雄舉行感恩見面會，國民黨立委王金平（右二）也到場，郭宣布第二位「郭家軍」黃韻涵（左四）參選高雄立委。 圖／郭台銘辦公室提供 分享   facebook     鴻海創辦人郭台銘昨在高雄舉辦第二場感恩之旅，並為代表「郭家軍」投入立委選戰的國民黨高雄第二選區立委參選人黃韻涵授旗。郭表示，未來有兩大目標，一是成立郭台銘政經學校，二是讓中華民國持續以中道力量前進。 
黃韻涵獲得郭台銘「加持」力挺，引發外界質疑，她昨晚發出聲明強調，「總統唯一支持韓國瑜」，這一點毋庸置疑。 
郭台銘昨在感恩見面會與支持者一起合唱國歌及「明天會更好」、「感恩的心」，前高雄縣長楊秋興、立法院前院長王金平昨均出席。郭台銘向支持者鞠躬說「抱歉讓大家失望，對不起大家」，支持者不捨高喊「選總統！」郭台銘說，兩黨政治已走到瓶頸，不表態民眾已逾三成，掌權者政策買票，未掌權者則開出無法兌現的政見支票。 
郭台銘同時宣布高雄市副議長陸淑美的女兒黃韻涵，將代表「郭家軍」投入高雄第二選區立委選舉，郭也表示支持台灣民眾黨推出的參選人，並且籲政黨票投民眾黨。 
國民黨總統初選時，陸淑美曾公開力挺郭台銘，雖然國民黨最後推出韓國瑜參選，但黃韻涵獲得國民黨提名為高雄第二選區立委參選人。黃韻涵說，總統唯一支持韓國瑜，這點毋庸置疑；能夠同時支持韓選總統，又受到郭的支持，對於民心思變的民眾來說，是扳倒民進黨的最佳時機。 
",2019,10,21,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
7,大學轉型 變青創及AI育才基地,2019-10-21,大學除了招生作育英才，近年也逐漸轉型成為協助在校生創業、培養AI等人才的基地；去年敏實集團入主大華科技大學，除重整科系，也將圖書館二樓整修，改建成汽車展示中心的「未來汽車館」，致力發展成智慧汽車基地，專注培養相關人才。,"大華科技大學將增加智慧車輛與能源系、智慧製造工程系2科系。圖／大華科大提供 分享   facebook      
大學除了招生作育英才，近年也逐漸轉型成為協助在校生創業、培養AI等人才的基地；去年敏實集團入主大華科技大學，除重整科系，也將圖書館二樓整修，改建成汽車展示中心的「未來汽車館」，致力發展成智慧汽車基地，專注培養相關人才。 
協助青年創業也是大學熱門話題，除了縣市府相繼成立青年事務單位，各大專院校也積極發展青創中心，鼓勵學生創業。例如清華大學創新育成中心除結合學校資源，也提供租金便宜的培育空間讓青年學子創新創業，並且新增AI人工智慧組及區塊鏈組。 
清大電機系大一學生陳唯中、馬禹平及蔡惠芸就創業「青椒快送」，已實際營運，解決清、交大住宿生外出用餐不便的問題，每天約有130至150人次點餐。 
交大則有學府、矽導、光復、博愛培育區，提供免費場域及創業輔導資源，鼓勵青年學子潛力團隊進行技術商業化，帶動產業創新發展。 
2011年11月起，鴻海也與交大合作，建立「產業加速器暨專利開發策略中心」，由鴻海免費提供設備與場地，交大則負責軟體與師資，用以育成新創公司。 
敏實集團是世界百大汽車零組件供應商，背後的老闆是坐擁為全球最大汽車零件廠的秦榮華，宣稱全球每9輛車，就有4輛上面有他們的零件，近年敏實集團跨足生產電動車，也是在大陸5家無人車廠商中的唯一一家台商，因此秦榮華預計將集團的資源投入大華科大，由大華培養相關人才，未來畢業後還可直接到敏實集團全球43個據點就業。",2019,10,21,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
8,台股輪動 集團股、傳產股當家,2019-10-20,"上周外資大買台股447億元，創下近三年單周最大，連帶推升集中市場成交量達7,184億元，為半年來新高。外資法人表示，從近期盤面架構看，買盤大量換手買入低基期集團股、傳產股，撐盤意味濃厚，可視為多頭力守格局的操作訊號。","本報資料照片 分享   facebook     上周外資大買台股447億元，創下近三年單周最大，連帶推升集中市場成交量達7,184億元，為半年來新高。外資法人表示，從近期盤面架構看，買盤大量換手買入低基期集團股、傳產股，撐盤意味濃厚，可視為多頭力守格局的操作訊號。 
上周五（18日）美股轉跌，台股短線補跌的機率增加，不過在外資強力買超使大盤技術面出現帶量紅棒，配合期貨多單逾5萬口，法人預期，此波急漲小回的格局不變。 
經濟日報提供 分享   facebook     據美系外資統計，過往大盤量能加溫配合外資買超擴大，普遍帶動大盤動能提升，即使急漲拉回，也有較高的機率處於高檔，屬於正向的訊號。 
野村證券表示，這波8月以來的電子股急行波，美國、台灣科技股均來到偏高水位，歐美基金經理人雖持續看好5G、資料中心等長線趨勢，但有意建立低基期部位來強化短期組合的防禦性；從技術面看，也有賴多方良性換手，才能讓盤勢走得久。 
野村點名，績優傳產股、低基期族群有機會補漲，台股中如電動自行車、工具機和紡織股等非科技股「漲」相看好。 
個股來看，上周台股資金流向也出現大風吹，爆量買盤紛紛轉入低基期族群，使得相關個股反彈。 
外資買超前十大個股中，有鴻海、群創、友達、聯電、新光金、台泥、中信金、華新，另外同步買超和碩、光寶科、富邦金、寶成、台塑、大成鋼等，以集團龍頭股和績優傳產股占大宗；本土投信也切換到中美晶、環球晶、元太、可成、正崴等股票。 
由於非科技股反彈，原先成交比重連續突破七成的電子股，亦在18日比重下滑到68%，傳產股比重則提高到26%，金融股小增到5%。 
宏遠投顧副總經理陳國清表示，受國際股市回檔影響，台股短期可能進入漲多的修正，業績股和題材股有發揮空間，但個股輪動快，操作宜高出低進善設停損。",2019,10,20,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
9,影／沒心結？吳敦義王金平緊緊相擁 吳：說抱幾次就抱幾次,2019-10-21,國民黨主席吳敦義與立法院前院長王金平，21日中午一同出席台灣日本研究學會創會40周年暨中日文教基金會創會35週年慶祝酒會...,"國民黨主席吳敦義與立法院前院長王金平，21日中午一同出席台灣日本研究學會創會40周年暨中日文教基金會創會35週年慶祝酒會王金平活動前被問到和吳敦義見面會不會尷尬？王金平直說不會，活動開始時還特地和吳敦義說「大家都說看我們兩個會抱還是不會抱」，吳敦義見到眾多媒體拍攝，立刻回「抱一抱，抱一抱，抱緊一點」。兩人離去時被問到是不是已經化解心結？吳敦義則回「你說抱幾次就抱幾次」，但被問到王金平曾說要參選到底，吳敦義則尷尬說「我都不能做揣測」。 
 
而鴻海集團創辦人郭台銘所組成的「郭家軍」20日再公布立委參選人名單，包括國民黨籍的高雄市第2選區立委參選人黃韻涵，王金平也特地回高雄到場祝賀。黃韻涵卻在當晚發表聲明，指自己仍支持國民黨總統參選人韓國瑜選總統，但外界卻認為黃韻涵會做如此聲明，可能是來自黨中央的壓力，對此王金平則說黃韻涵很像自己的姪女一樣，她是被國民黨提名的，支持國民黨提名的總統候選人，也是天經地義的事。不過在受訪過程中王金平卻隻字不提「韓國瑜」，僅用「國民黨提名的總統候選人」帶過，也引發聯想。 
 
 
 
前立法院長王金平與國民黨主席吳敦義，中午出席台灣日本研究學會創會40週年暨中日文教基金會創會35週年慶祝酒會，互動熱絡，兩人還二度緊緊相擁。記者顏凱勗／攝影 分享   facebook",2019,10,21,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
