TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
台積電ADR飆新高 台股聚焦科技股,2019/12/12 08:41,股市,美國聯準會（Fed）維持利率不變，且暗示2020年不會升息，費半大漲，台積電ADR大漲2.53%飆新高，分析師認為，資金...,"台積電。路透 分享   facebook      
美國聯準會（Fed）維持利率不變，且暗示2020年不會升息，費半大漲，台積電ADR大漲2.53%飆新高，分析師認為，資金行情延續，台股仍可望驚驚漲，將聚焦科技股。 
費半大漲，台積電ADR飆新高，科技股表現佳，4大指數齊揚，道瓊工業指數上漲29.58點、漲幅0.11%、收在27911.3點，NASDAQ指數上漲37.87點、漲幅0.44%、收在8654.05點，S&P 500指數上漲9.11點、漲幅0.29%、收在3141.63點，費城半導體指數上漲38.3點、漲幅2.23%、收在1759.2點。 
分析師表示，市場雖擔憂美國將在15日對1600億美元的中國大陸輸美商品加徵關稅，但卻又透露對美國總統川普對加徵關稅動作即時喊停充滿期待，台股11日雖震盪走高，且最後一盤拉上11700點，創29年多以來新高，但量能卻未有明顯突破，多頭欲攻卻又戒慎恐懼。 
分析師指出，外資對台股持中性偏多態度，近期在現貨市場買多賣少，在台指期淨多單部位也逼近5萬口的相對高檔水準，短線需注意美國是否在15日針對中國大陸輸美商品開始加徵關稅，以及市場的反應。 
此外，法人也認為，台股短線由於量能多半不到新台幣1300億元，若要再走波段行情，量能恐有不足之虞，加上外資即將開始放假，位階相對較低的櫃買指數可望在內資陸續回籠下，較具表現空間。 
歐股也普遍收漲，倫敦FTSE 100指數上漲0.03%、收在7216.25點，法蘭克福DAX 30指數上漲0.58%、收在13146.74點，巴黎CAC 40指數上漲0.22%、收在5860.88點。","台股,台積電",聯合新聞網,https://udn.com/news/story/7251/4221345
台股驚驚漲誰是顧大盤？ 顧立雄這麼說,2019/12/12 10:39,股市,"立委羅明才今（12）日上午在立法院財委會表示，台股大盤出現一個令人驚奇的發展，現在加權指數漲破11,800多點，甚至有人...","金管會主委顧立雄。本報資料照片 分享   facebook      
立委羅明才今（12）日上午在立法院財委會表示，台股大盤出現一個令人驚奇的發展，現在加權指數漲破11,800多點，甚至有人說會上看13,000點，很多人說選舉到了有人在「顧大盤」，大家都在問誰是顧大盤？「我說我不認識 ，我只認識顧主委」，這幾個月來外資持續匯入是外資在顧大盤嗎？到底是什麼力量不斷在撐台股？ 
 
顧立雄說：「我沒有任何顧大盤的動作，我也沒有那個能力來顧大盤。」他提到，市場能呈現什麼樣子，是市場能為他們帶來什麼投資利益，資金寬鬆是全世界都寬鬆，台股高殖利率跟其他市場獲利表現來看，相對來講還可以。 
 
羅明才提到，外資青睞的眼光只重壓在台積電和大立光等電子權值股。顧立雄說：「台積電我看到應該是外資在重壓。」他表示，外資青睞的原因是對電子權值股研究比較清楚，比較了解，因此鼓勵上市櫃公司多做業績發表，財報和年報等也能以中英文揭露，這樣可以讓外資會越來越瞭解不是權值股以外的股，只要基本面不錯就會得到青睞。","外資,台積電,台股",聯合新聞網,https://udn.com/news/story/7251/4221536
"台積電飆328元歷史天價 台股大漲百點站上11,800點",2019/12/12 09:20,股市,"台股今（12）日跳空，再創29年半新高，台股開盤上漲66.18點，開在11,766.98點，台積電（2330）續創歷史新...","台股示意圖。 本報資料照片 分享   facebook      
台股今（12）日跳空，再創29年半新高，台股開盤上漲66.18點，開在11,766.98點，台積電（2330）續創歷史新高價，來到328元，帶動台股早盤漲幅擴大超過百點，來到11,800點關卡。 
 
台積電發動攻勢帶動半導體相關族群京鼎、帆宣、光罩、世芯-KY等股續強；受惠蘋果股價創高，帶動精材、宣德、景碩等走揚。 
 
美國聯準會（Fed）表示對美國經濟充滿信心，貨幣政策則持續鴿派，暗示2020年仍不會升息，激勵美股震盪走高，四大指數收盤全數上漲。美股尖牙股FAANG全數上漲，半導體族群更是表現凌厲，帶動費半指數收盤創下歷史新高。 
 
終場道瓊工業指數上漲29.57點，或0.1%，收在27,911點；標普500指數上漲9.11點，或0.29%，收在3,141.63點；那斯達克指數上漲37.86點，或0.43%，收在8,654.05點；費半指數上漲38.3點，或2.22%，收在1,759.2點。 
 
法人認為，美國FOMC利率決策會議於今晨決議維持利率不變，符合市場預期，寬鬆貨幣政策有利資金行情延續，台股各期均線多頭排列，12月至隔年1月易漲難跌特性，搭配年底集團作帳行情，有利台股維持多頭格局。 
 
持續關注美中貿易戰發展，市場預期雙方可望在12月15日美國加徵關稅前，達成第一階段協議，操作上，建議加碼前景較佳類股。","台股,台積電",聯合新聞網,https://udn.com/news/story/7251/4221402
黃崇仁連任TwIoTA理事長 將擴大AI、5G、IoT跨產業交流,2019/12/11 23:00,產經,台灣物聯網產業技術協會（TwIoTA）今天舉辦第二屆第一次會員大會，並改選理監事，由力晶集團創辦人黃崇仁正式連任協會理事...,"台灣物聯網產業技術協會（TwIoTA）今天舉辦第二屆第一次會員大會，並改選理監事，由力晶集團創辦人黃崇仁正式連任協會理事長。 
 
台灣物聯網產業技術協會指出，該協會會員組成多樣化，包括力積電、台積電、力晶、鈺創、日月光、力旺、arm、晶心、穩懋、智成電子、智慧記憶科技、台達電、和碩聯合、智豐科技、凌?電腦、神通資訊、富鴻網、中華電信、台灣之星、智合精準醫學等。 
 
協會會員涵蓋半導體上下游、系統整合業者（SI）與電信業者，正好跟AI與IoT應用趨勢所需產業供應鏈不謀而合，再加上全球5G通訊於2020年陸續商轉，因此協會將擴大AI、5G、IoT跨產業交流，以協助會員拓展AI與IoT市場商機。 
 
 
 
該協會表示，IoT是數位經濟運作的基石，成立三年來幾乎每年參與三十餘場海內外AI與IoT論壇及展會活動，會員參加活動積極度高。以今年為例，已主辦與協辦多場重量級論壇，包括海峽兩岸信息產業和技術標準論壇、台灣RISC-V聯盟啟動儀式暨研討會、創新智慧醫療研討會、RISC-V x AIOT/5G新嵌入式智慧解決方案論壇、國際產業前瞻研討會、InnoVEX迷你沙龍等。 
 
台灣物聯網產業技術協會也前往德國紐倫堡嵌入式展（Embedded World）、北京工業互聯網峰會、台北國際電腦展（COMPUTEX）、蘇州電子信息博覽會（eMEX）、深圳高交會、日本嵌入式與物聯網技術大展（ET & IoT Technology）、北京世界5G大會、台北未來科技展等展會觀展。 
 
該協會也參訪日本鹿兒島與宮崎縣企業、日本石川與富山縣企業、臺中榮民總醫院、員林基督教醫院、臺中軟體園區、鼎新中軟大樓、中原大學智慧製造研發中心、青島海爾與海信智能工廠等，獲得與會會員與廠商一致支持。 
 
 
 
 
 
黃崇仁連任TwIoTA理事長 將擴大AI、5G、IoT跨產業交流。TwIoTA提供 分享   facebook","物聯網,5G",聯合新聞網,https://udn.com/news/story/7240/4221042
外資：半導體股漲到下季,2019/12/12 00:27,股市,"台積電昨（11）日領軍半導體股，率台股強攻11,700點大關。外資野村、?豐發布最新分析報告，一致高喊台股半導體股還沒漲完，預期明年1、2月營收向上，還會推動一波獲利上修熱潮，行情將一路看漲到第1季底。","台積電昨（11）日領軍半導體股，率台股強攻11,700點大關。外資野村、?豐發布最新分析報告，一致高喊台股半導體股還沒漲完，預期明年1、2月營收向上，還會推動一波獲利上修熱潮，行情將一路看漲到第1季底。 
 
外資並點名搶搭跨年行情緊追七大衝鋒股，包括台積電、聯發科、日月光投控、穩懋、聯詠、環球晶及京元電，最有淡季不淡潛力；?豐並給予台積電目標價338元，預期最快年底到明年初，台積電將受惠股市大漲上攻近340元。 
 
台積電11月營收登高，昨買盤激情湧現，盤中股價逐步挺進並收漲5.5元至319元，創新高，連帶使設備、記憶體、IC設計等半導體股全線大漲，激勵台股尾盤站上11,700點大關。 
 
野村證券發布大中華半導體策略指出，5G推動半導體景氣觸底，是亞洲半導體股轉強首部曲，接下來個股業績爆發，還會拉抬多頭情緒，半導體股有望跨年漲到2020年。 
 
野村半導體產業分析師鄭明宗表示，半導體股指標的台積電已產能滿載，是類股熱潮不會戛然而止的重要因素，除台積電營收展望強勁，今、明年資本支出也大幅拉高，都預告半導體會強走一波。 
 
野村將前次2012-2015年景氣高峰比喻為「超級循環」，當時台積電便率先拉高資本支出，再對照目前半導體業庫存、拉貨情況，都預示歷史有機會重演。 
 
鄭明宗指出，使半導體好轉的首波5G需求，以基地台為主，明年浮現的5G需求將由手機帶頭，帶動半導體股更廣泛漲勢。且受5G手機已陸續推出，明年1、2月概念股營收有望不淡，使市場財測再度上修。 
 
?豐證券則單刀直入，發布「5G供應鏈會漲到何時？」的策略指南，判斷明年起5G手機挹注，相關半導體股有一到八成不等的潛在漲幅。 
 
?豐分析，今年5G供應鏈雖上漲一波，但以聯發科來說，成長性推算的合理目標價有500元，潛在漲幅還有16%；實際業績出爐仍有漲勢可期。","台積電,半導體,5G",聯合新聞網,https://udn.com/news/story/7251/4221147
凱基投顧發布明年台股展望 大盤樂觀上看1萬3300點,2019/12/11 22:29,股市,凱基投顧今天發表2020年台股展望，受5G與中國去美化因素影響，預計將帶動台股自2019年第4季起進入至少8個季度的獲利...,"凱基投顧今天發表2020年台股展望，受5G與中國去美化因素影響，預計將帶動台股自2019年第4季起進入至少8個季度的獲利上升周期，且價值重估行情亦伴隨發酵，由此支撐台股2020年全年維持多頭表現，高點上看12,600點，樂觀上看13,300點。這隱含台股將突破過去5年高峰，並逼近過去10年高峰。 
 
 
 
凱基投顧表示，自2011年起3G升級至4G後，即帶動全球智慧型手機的首波換機潮，並支撐科技股於2012到2014年維持3年的獲利成長循環。凱基預期2020年起隨5G基礎建設陸續建置，以及蘋果將推出5G版iPhone，第2波手機換機潮，將帶動科技股結束2019年的獲利衰退，迎來2020與2021年18%與10%的成長。 
 
凱基投顧預估，5G手機的滲透率將由2019年的1%提高至2020年的18%(約當2.8億支)，而5G手機帶動整體零組件內含價值較4G提升15%到20%，更是支撐科技股未來兩年獲利大幅成長的關鍵。此外，支援5G覆蓋範圍之衛星、WiFi 6、固網、資料中心等亦將掀起新增或換機需求。 
 
 
 
今年華為斷鏈事件已使中國廠「去美國化」成為長期採購趨勢，而台廠的IC設計與砷化鎵兩個族群也因此獲得少量的轉單。展望未來，由於IC設計與砷化鎵的潛在轉單規模各占台灣IC設計與砷化鎵族群全年營收的31%與4.5倍，更增添未來獲利動能，以及抵禦景氣逆風的能力。 
 
 
 
凱基投顧指出，5G起飛將帶動科技股天翻地覆的升級循環，因為5G手機除帶動整體零組件內涵價值大幅提升外，支援5G通訊覆蓋範圍之衛星、WiFi 6、固網、資料中心等亦將掀起升級需求。 
 
凱基投顧特別看好8項產業趨勢：(1)5G將推動半導體內含價值升級；(2)5G將帶動手機往OLED面板升級；(3)5G將推升iPhone重返成長並帶動零組件內涵價值提升；(4)5G將引爆衛星商機；(5)5G將掀起WiFi 6、固網與資料中心之高速升級需求；(6)5G將帶動工業自動化進入上升循環；(7)乙烯成本下滑將帶動下游衍生物利差擴大；(8)台商回台將支撐銀行放款動能。 
 
 
 
展望5G升級，凱基投顧表示，相信科技股(扣除台積電)在業績支撐與中國去美化加持之下，本益比將有機會從目前之16.5倍再度往18倍邁進，此將貢獻台股600點；同時也看好5G將帶動台積電的價值重估，本益比將由目前19倍提升至22倍，此部分貢獻台股400點，上述兩者合計即貢獻1,000點，即台股將因此上看12,600點。凱基投顧發布明年台股展望，大盤樂觀上看1萬3300點。凱基投顧提供 分享   facebook","5G,凱基投顧,4G",聯合新聞網,https://udn.com/news/story/7251/4220916
台積電開高飆上328元、市值衝8.5兆 雙創新高,2019/12/12 09:21,股市,"台積電（2330）再創歷史新高，今（12）日以325元開高，上漲6元，早盤一度拉升至328元，市值衝達8兆5,051億元...","台積電再創歷史新高。 路透 分享   facebook      
台積電（2330）再創歷史新高，今（12）日以325元開高，上漲6元，早盤一度拉升至328元，市值衝達8兆5,051億元，雙雙再刷新歷史紀錄。 
 
台積電11月合併營收1,078.84億元，再創下歷史新高，連續4個月營收突破千億元，累計前11個月合併營收9.666.72億元，年增2.7%；法人表示，今年合併營收將超過兆元，再創歷史新高。 
 
台積電ADR周二收漲2.53%，台積電今日股價開高，持續再創新高，盤中股價拉升至328元，上漲9元，漲幅2.82%。","台積電,營收",聯合新聞網,https://udn.com/news/story/7251/4221404
台積電股價飆新高 日月光投控和精測強勢表態,2019/12/12 12:35,股市,台積電股價飆新高，後段封測族群也強勢表態，日月光投控創掛牌以來次高，精測也衝上22個月多高點，力成一度重返百元,"日月光執行長吳田玉。報系資料照 分享   facebook      
台積電股價飆新高，後段封測族群也強勢表態，日月光投控創掛牌以來次高，精測也衝上22個月多高點，力成一度重返百元。 
晶圓代工龍頭台積電帶領半導體族群股價衝高，台積電盤中最高飆上334.5元，漲4.85%，再創歷史新天價，市值攻上新台幣8.67兆元，再創新高。 
台積電股價衝新高也帶動後段封測族群強勢表態，其中日月光投控盤中最高來到83.8元，漲幅4.22%，是去年4月底投控掛牌以來波段次高。此外測試介面廠精測盤中最高來到1075元，上漲6.43%，是去年2月上旬以來波段高點，穩居股后。 
記憶體封測廠力成盤中也一度重返百元之上，最高來到100.5元，漲2.44%，是2017年7月下旬以來波段高點。 
在日月光投控部分，美系法人報告預估，日月光投控明年第1季在IC封裝測試和材料業績可能較今年第4季季減約3%左右，優於往年同期季減超過1成幅度。明年第1季在電子代工服務（EMS）季減幅度，收斂到25%左右。 
法人預估，日月光投控明年第1季業績可超過新台幣1005億元，逼近1009億元，較今年第4季估1150億元季減12%到13%區間。明年第1季獲利可超過55億元，逼近56億元，每股純益可到1.3元。 
展望明年，法人預估日月光投控明年整體業績可較今年成長12%以上，整體獲利可超過新台幣250億元，上看253億元，每股稅後純益可超過5.9元，優於今年EPS4元。明年獲利可較今年170億元成長47%到48%，拚投控成立來新高。 
在精測部分，法人預期精測明年第1季業績能見度審慎樂觀，看好5G應用加速，明年第1季業績表現雖然可能不若今年第3季，不過維持穩健表現。明年整體業績預估可望成長25%以上，有機會超過42億元，創歷年新高。 
法人指出，精測切入中國5G基地台大廠特殊應用晶片的測試供應鏈，此外中國大廠在5G基地台布建市占率超過6成，也有利精測探針卡出貨表現。 
在力成部分，法人預估力成第4季業績有機會逼近190億元，較第3季成長7%到8%區間，創歷史單季新高。力成先前預期成長可持續看到第4季，對明年第1季樂觀看待，業績有機會創同期新高，預期明年上半年在記憶體封測可正向看待。","PS4,台積電,精測",聯合新聞網,https://udn.com/news/story/7253/4221710
Fed寬鬆貨幣政策 台股再創29年反彈新高,2019/12/12 11:28,股市,美國聯準會（Fed）召開今年最後一次利率決策會議（FOMC），一如市場預期，維持基準利率於1.50~1.75%不變。景氣...,"美國聯準會（Fed）召開今年最後一次利率決策會議（FOMC），一如市場預期，維持基準利率於1.50~1.75%不變。景氣判斷的部分，就業與消費支出強勁，但企業投資與出口疲弱且尚無起色。 
 
國內大型券商指出，美國聯準會今年三度預防性降息後，有助於穩定景氣動能，聯準會暫時傾向觀望。預期明年經濟成長率達2.0%，與前次預期值相同；至於通膨仍低於政策目標值2.0%，無論是消費者調查或是債市交易結果，顯示長期通膨預期心理並無上升跡象，預測明年核心通膨僅上漲1.9%，直到後年才會觸及政策目標值2.0%。 
 
在政策展望方面，聯準會委員間的點陣圖顯示，2020年底基準利率將達1.60%，即全年維持不變，後年底的預期值，則由2.1%下修至1.9%，顯示長期利率水平進一步下調。 
 
後續動向上，未來半年利率持平已成市場共識，配合聯準會已啟動購債操作，平穩期利率，有助於延續投資人的風險偏好；因此，研判股市多頭趨勢可望延續，公債殖利率呈現橫向整理格局，美元雖有波動跟修正，但預期幅度有限。 
 
由於聯準會維持利率不變，激勵美股四大指數走揚，台積電 ADR大漲 2.53%與蘋果上漲 0.85%，同創歷史新高，台股今（12）日也一舉突破11,800點大關，盤中再寫11,875點的29年來反彈新高。","美國聯準會,通膨,景氣",聯合新聞網,https://udn.com/news/story/7251/4221648
周行一／學習代工,2019/12/11 23:46,評論,台灣以代工出名，別人不會製造或者做得不夠物美價廉的東西，由我們來做。代工是廠商間分工，利用外部資源增加效率的合作方法，廠商可以減少自己的資源投入，同時利用別人的長處。但是有一個大風險，當別人不再跟自己合作時，企業就無法生存，因此美國正在以管理國家風險的角度，把重要的製造能力移回美國，而中國大陸卻正在因美國刻意破壞大陸與其他市場間的供應鏈關係而受苦。," 分享   facebook      
台灣以代工出名，別人不會製造或者做得不夠物美價廉的東西，由我們來做。代工是廠商間分工，利用外部資源增加效率的合作方法，廠商可以減少自己的資源投入，同時利用別人的長處。但是有一個大風險，當別人不再跟自己合作時，企業就無法生存，因此美國正在以管理國家風險的角度，把重要的製造能力移回美國，而中國大陸卻正在因美國刻意破壞大陸與其他市場間的供應鏈關係而受苦。 
所以代工有好處也有風險，既然不可能凡事自己做，最好的風險管理方法就是讓自己的能力最強，別人非得跟我合作不可，台灣的台積電及大立光等少數公司就有這樣的優勢。 
「生產代工」不僅在台灣盛行，「學習代工」也漸漸流行起來，大家把一些本來自己做的學習動作請別人代勞，好處是節省時間、精力，金錢，甚至有意想不到的娛樂效果；但有一個很大的風險，就是我們把最必要幫助自己建立核心競爭能力的學習動作請人代工，久而久之個人的相對競爭力就衰退了。有一種「學習代工」叫做閱聽（podcast），我們用電子媒介（如手機）聽故事、小說、雜誌、書籍。有些內容很簡單可以用「聽」的接收，譬如輕鬆的小說故事；複雜需要深度思考的學習，用閱聽可能會事倍功半。 
現代人吸收資訊時間零碎、方法多元，podcast大行其道，例如聯合新聞網的轉角國際頻道( global.udn.com ) 在蘋果智慧音響HomePod上架。 圖／聯合報系資料照片 分享   facebook      
聽、說、讀、寫是學習的四個重要環節，許多資訊經由聲音傳遞，要經過「聽」才學習得到，例如自然界的各種聲音、音樂、或者是別人講話的抑揚頓挫；「說」對腦筋是一種重要的訓練，先經過腦子整理說話內容後，再有條理地講出讓別人懂；讀者必須經由深度閱讀（例如一種新的觀念或論述），不停地思考字裡行間，才有辦法學習到書裡的內容；寫是在聽、說（與人對談）、讀之後，經過腦子的彙整以文字呈現出來，人在講話時屬快思型，寫作時則屬於慢想型，經過仔細推敲後才形成文字。 
用聽來學習的好處是可以隨時利用時間，在不方便閱讀的時候進行，而且有人說給你聽的享受，與自己閱讀是不一樣的，想想看，小說中的各個角色讓你聽她們的對話，應該是頗有趣的。但是嚴謹的學習需要與書籍深度融合的，讀者經常需要重複研讀書裡的內容深度思考才學習得到，這種紮實的學習對核心能力的培養至為重要。 
由於各種電子媒介與活動的吸引力，現代人的時間愈來愈破碎化，自然就選擇以聽代讀了。台灣市場的書籍銷售額，據出版業自己的描述是雪崩式下滑，從十年前的每年三、四百億，到現在不到兩百億，正反映這種現象。 
儘管再忙，我們每天還是需要有一段固定時間閱讀，長期積累才能厚實個人競爭力，張忠謀先生每天長時間閱讀，可能與他有了不起的成就有高度相關性，大家應該避免過度學習代工，開始讀書吧！（作者為政治大學財管系教授）","閱讀,競爭力,HomePod,晶圓代工,張忠謀,台積電,讀書吧,手機,貿易戰",聯合新聞網,https://udn.com/news/story/7340/4221109
