TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
聯合報社論／郭台銘參選有助將大選主軸拉回經濟,2019/4/17 23:48,評論,鴻海董事長郭台銘表態參選總統，並宣稱一定要通過初選，絕不接受徵召。此一變化，讓國民黨好不容易底定的「民調徵召」制度，又增添變數。根據最新民調，郭台銘支持度僅小輸韓國瑜兩個百分點，打平柯文哲，可見其實力不弱。重要的是，無論他是否通過初選贏得提名，都有助於將二○二○的大選主軸拉回經濟民生，避免被民進黨又打成「統獨對決」。,"鴻海董事長郭台銘昨接受國民黨致贈榮譽狀。 記者陳柏亨／攝影 分享   facebook      
鴻海董事長郭台銘表態參選總統，並宣稱一定要通過初選，絕不接受徵召。此一變化，讓國民黨好不容易底定的「民調徵召」制度，又增添變數。根據最新民調，郭台銘支持度僅小輸韓國瑜兩個百分點，打平柯文哲，可見其實力不弱。重要的是，無論他是否通過初選贏得提名，都有助於將二○二○的大選主軸拉回經濟民生，避免被民進黨又打成「統獨對決」。 
郭台銘和韓國瑜背景各不相同，但兩人具有一些共同特徵，被形容為「最番薯化的芋仔」。兩人都是外省第二代，卻長期在台灣基層生活中歷練，和本土融為一體；兩人均非名校出身，沒有傳統藍軍的書生或貴族身段，信仰和語言都很接地氣。韓國瑜去年能在高雄締造翻天覆地的「韓流」，即得力於此。郭台銘昨天到他曾隨父親棲身多年的板橋媽祖廟參拜，形同將他從寒微走向跨國鉅富的歷程演示了一回；而媽祖託夢之說，更增添了幾分民俗色彩。 
正當韓國瑜還在美國參訪，郭台銘亦挑選一個國際會議場合，打響其參選起身砲之預告。在美台共同舉辦的「印太安全對話」研討會上，他提出「台灣經濟發展的關鍵鑰匙在中國還是美國」的發問；但綠委蕭美琴回答時並未面向他，主持人陳唐山又拒絕他繼續發問。郭台銘當即以未受到「禮貌對待」，拂袖而去，並怒斥這是民進黨的「一言堂」。這次事件或許純屬意外，但擦槍走火後，顯然更強化郭台銘的參選決心。 
關於郭台銘參選的傳聞，早先即一直未曾間斷。二○一六年底川普當選美國總統，次年他赴美投資並赴白宮拜會川普，各界對於他出馬角逐總統即曾有過一番臆測與討論。主要原因是，企業家出任國家元首的禁忌已被川普跨越，事實也證明，川普能有效提振美國的經濟。然而，當時蔡英文剛執政未久，郭台銘參選的議題最後也就僅止於淺嘗，未再持續發酵。 
這次，就在綠營蔡賴爭鬥不休、而藍營眾望歸趨「韓流」之際，郭台銘突然興起參選的意願，立刻使藍綠白的「三腳督」形勢變得更為複雜。對藍營而言，郭台銘尚未正式表態參選前，支持度即與韓國瑜拉成伯仲之間，當然也是一支好牌。問題只在，已經九彎十八拐的國民黨初選或徵召，要再怎麼改換台詞重來？ 
事實上，和韓國瑜就任市長才三個月若轉戰總統極可能受到道義責難一樣，郭台銘要代表國民黨披戰袍出征，也有一些主客觀的障礙必須先清理。首先，是郭台銘的黨籍問題。連日來，國民黨對於郭台銘是否擁有黨籍，說法一變再變。先說他「無黨籍」，後改口說是「失聯黨員」，又稱他是「資深黨員」。若是失聯黨員，在補繳黨費後，要四個月後才具有登記參選的資格。但國民黨迅即為他找到「巧門」，以他曾以母親名義借貸四千五百萬元供國民黨無息周轉為由，向「郭台銘同志」發出榮譽狀，等於使其黨籍「就地合法」。 
另一個郭台銘需要克服的障礙，則是如何說服外界——尤其是企業界對他的支持。郭台銘可能參選的消息曝光後，企業界傳出一些不同的聲音，有人認為政治和企業經營是截然不同的領域，郭董的企業治理經驗未必能全然移轉到治國，政經分離的原則，也會引起議論；有人則擔心台灣政治太險惡，他參選可能未蒙其利，先受打壓。這些因素，郭台銘未必沒有考慮過，以他在「印太安全對話」中的提問為例，其實已是更高層次的戰略思維。重要的是，如何兼顧台灣的安全與經濟發展，他是不是有更佳的答案，並用以說服民眾？還有郭台銘的性格，也尚未經政治的檢驗和洗禮，這也引起外界的好奇。 
但從正面看，郭台銘參選，有助於將總統大選主軸從民進黨的「國安牌」拉回拚經濟；這點，和韓國瑜的「台灣安全，人民有錢」可以相互呼應。不論最後誰出線，這都是兩人可以合作的基礎。 
","郭台銘,韓國瑜,國民黨,川普,韓流",聯合新聞網,https://udn.com/news/story/7338/3762250
蘋果四大代工廠 擺脫訴訟陰霾,2019/4/18 03:04,產經,蘋果代工廠昨（17）日表示，蘋果與高通就專利訴訟進行和解協議，是終止所有正在進行的訴訟，包含高通與蘋果的合約製造商，因此，蘋果代工廠也已經與高通達成和解協議，此協議也是解決蘋果與高通之間，所有全球訴訟的一部分，未來四大蘋果代工廠將不再有相關專利訴訟問題。,"蘋果代工廠昨（17）日表示，蘋果與高通就專利訴訟進行和解協議，是終止所有正在進行的訴訟，包含高通與蘋果的合約製造商，因此，蘋果代工廠也已經與高通達成和解協議，此協議也是解決蘋果與高通之間，所有全球訴訟的一部分，未來四大蘋果代工廠將不再有相關專利訴訟問題。 
鴻海、和碩、仁寶與緯創等蘋果代工廠，在2017年7月向美國南加州地方法院控告高通違反反托拉斯法。主因這四家iPhone及iPad等產品代工夥伴，在2017年5月間遭高通控告，要求他們支付給高通的專利授權金，因為這四家台灣代工廠，在蘋果授意之下，不支付高通的專利授權金。因此，四大代工廠在2017年7月也開始反擊，對高通提出訴訟。 
由於四大代工廠2017年7月在蘋果授意下，展開與高通訴訟，現在隨著蘋果與高通達成和解，四大代工廠自然也與高通達成和解協議。","高通,蘋果,鴻海",聯合新聞網,https://udn.com/news/story/7240/3762226
與賴清德碰面？ 蔡英文：總是有機會,2019/4/18 00:10,要聞,總統蔡英文昨天到台南參加區漁會多功能漁民活動中心動土典禮，對鴻海董事長郭台銘宣布參加國民黨總統初選一事表示「尊重」；蔡英文說，身為總統要處理很多國家的事，尤其對岸軍事活動不斷，要隨時因應確保國家安全，且在這樣的中美貿易情勢底下，也要確保台灣經濟持續穩定發展，讓更多外商、台商可以回到台灣投資。," 
 
總統蔡英文昨天到台南參加區漁會多功能漁民活動中心動土典禮，對鴻海董事長郭台銘宣布參加國民黨總統初選一事表示「尊重」；蔡英文說，身為總統要處理很多國家的事，尤其對岸軍事活動不斷，要隨時因應確保國家安全，且在這樣的中美貿易情勢底下，也要確保台灣經濟持續穩定發展，讓更多外商、台商可以回到台灣投資。 
蔡英文說，中國軍事動作不斷、持續升高，威脅區域穩定和現狀，在這種情況下，我們的空軍部隊隨時維持警戒狀態，而且都很妥善處理各項情勢，所以昨一早先到澎湖的天駒部隊，給他們加油打氣。 
總統蔡英文（中）昨到台南參加區漁會多功能漁民活動中心動土典禮。 記者邵心杰／攝影 分享   facebook      
對於來台宣揚武力統一或一國兩制的人士處理的看法，蔡總統說，以從境外入境來宣揚武統或一國兩制的人士來講，其實跟他們入境的目的不符；同時，宣揚武統這一類立場，鼓動戰爭、武嚇人民的主張，對很多國家來說都不會是個受歡迎的人士。她表示，如果這些人入境會對社會安定、國家安全有疑慮的話，希望移民或出入境管理單位都要慎重處理，以現行法令，主管機關應該有足夠的裁量權來處理。 
總統昨到台南，被問到有無和行政院前院長賴清德碰面的機會，蔡說，在台北還有許多行程，「要見面總是有機會的」。 
","蔡英文,一國兩制,行政院,郭台銘,賴清德",聯合新聞網,https://udn.com/news/story/12653/3762258
郭董選總統 鴻海目標價調升,2019/4/18 00:52,股市,鴻海董事長郭台銘昨（17）日宣布參加國民黨初選，選上就代表國民黨角逐2020年總統大選，多家外資出具報告，德意志認為有利台灣科技股；?豐看好鴻海業績續揚，目標價拉高到110元。,"郭董選總統，鴻海目標價調升。記者陳柏亨/攝影 分享   facebook     鴻海董事長郭台銘昨（17）日宣布參加國民黨初選，選上就代表國民黨角逐2020年總統大選，多家外資出具報告，德意志認為有利台灣科技股；?豐看好鴻海業績續揚，目標價拉高到110元。 
「郭董選總統」效應昨天持續在股市發酵，並延伸至集團陸、港股掛牌企業。鴻海收盤漲逾2%、收去年3月23日以來新高價91.8元，外資持續加碼1.6萬餘張，連續15個交易日站在買方，為2017年2月底來逾兩年最長買超，合計已買超15.7萬張，「鴻家軍」陽程、亞太電、臻鼎-KY、帆宣都有2%以上的漲幅。 分享   facebook      
 
鴻海子公司在陸、港股漲幅更是猛烈，港股掛牌的富智康集團大漲28%，A股掛牌的工業富聯（FII）飆漲停板漲10%，雲智匯科技、鴻騰精密均漲逾9%。 
 
郭董宣布參選後，?豐隨即發布報告，喊出外資圈給鴻海的第二高價。小摩日前升評鴻海、喊出105元，沒幾天就被比下、退居第三，最高依舊是麥格理喊150元。 
 
?豐之前對鴻海提出谷底已過、毛利轉穩及股價低基期等三大利基，這次再調升。?豐也看好鴻海第1季財報重演大驚奇，帶動外資圈持續上調財測；現階段?豐領先調高鴻海預測後，推算今、明年集團每股純益可達9.2元、9.5元。 
 
德意志證券科技產業分析師呂家霖表示，郭台銘參選有機會提出更親商、更友善科技業的政見，因此有利於台灣科技股。 
 
他分析，郭台銘在台灣是備受敬重的生意人，吃苦耐勞、目標堅定而且執行力強，能力有目共睹，加上投身科技業久，可望比其他政黨提出貼近產業心聲的政策。不過，郭台銘若參選，恐為集團營運帶來不確定性。","鴻海,外資,國民黨",聯合新聞網,https://udn.com/news/story/7251/3762262
韓國瑜肯定郭台銘 美事一樁,2019/4/18 01:27,要聞,鴻海董事長郭台銘宣布參加國民黨內總統初選，人在美國的高雄市長韓國瑜得知後表示，以「台灣安全、人民有錢」兩個標準來看，「我個人覺得是美事一樁」；至於自己會不會參加初選，韓笑說，原本是文藝片變武俠片，若他跟著加入，就變驚悚片了。,"鴻海董事長郭台銘宣布參加國民黨內總統初選，人在美國的高雄市長韓國瑜得知後表示，以「台灣安全、人民有錢」兩個標準來看，「我個人覺得是美事一樁」；至於自己會不會參加初選，韓笑說，原本是文藝片變武俠片，若他跟著加入，就變驚悚片了。 
韓國瑜說，郭台銘可以直接通大陸中南海，也可以通美國白宮，對台灣的國家安全來講，一定幫助很大。他進一步表示，現在台灣與大陸所有溝通管道都關閉了，這對台灣來講並不是很安全狀態，如果郭台銘做上中華民國總統，相信在國家安全上面一定會有很大幫助；尤其發大財部分，郭是白手起家，特別是針對中小企業，應該會有一套方法，帶領台灣經濟走向繁榮，因此從「台灣安全、人民有錢」兩個標準來看，郭台銘宣布選總統，他覺得是美事一樁」。 
郭台銘出來選，是否覺得自己的壓力減輕了？韓國瑜笑說，天塌了，一人頂很累的，現在兩個人一起頂，感覺舒服多了。 
韓國瑜說，現在至少已有朱、王、郭三人要選，既然郭台銘表示願意參加初選，他猜想黨中央一定會辦初選。至於自己會否成為第四個人？他哈哈大笑，「打麻將嗎？」韓國瑜曾形容郭加入讓總統初選文藝片變武俠片，媒體問如果若他也加入初選，武俠片會變什麼片？韓國瑜笑說「會變驚悚片」。 
台北市長柯文哲則表示，他已經不算素人了，但能做跨國企業，都具有一定經營管理能力。柯文哲強調，他還是那句老話，參政是每個人的權利，然後透過民主程序，由人民投票做出選擇。 
柯文哲昨天接受媒體提問，記者問他，高雄市長韓國瑜要等民意徵召，現在郭台銘要出來，是否對韓有衝擊？柯笑說，我的方法最好，自由自在、如來如去，做自己、放輕鬆、繼續向前走。 
","韓國瑜,柯文哲,國民黨,郭台銘",聯合新聞網,https://udn.com/news/story/12977/3762245
台灣川普能學美國川普？,2019/4/18 01:27,要聞,鴻海董事長郭台銘有意參選中華民國總統，立即令人聯想到商人出身的美國總統川普，川普曾稱讚郭董是「世界最偉大的商人之一」，郭董認為川普是一位為人民服務並努力為他們提供工作的總統。令人好奇的是， 川普的政治風格能為同為企業家的郭董提供何種經驗。,"鴻海董事長郭台銘有意參選中華民國總統，立即令人聯想到商人出身的美國總統川普，川普曾稱讚郭董是「世界最偉大的商人之一」，郭董認為川普是一位為人民服務並努力為他們提供工作的總統。令人好奇的是， 川普的政治風格能為同為企業家的郭董提供何種經驗。 
川普的商人背景使其作風有別於之前的美國總統，首先，川普偏好口水戰。他對往常習慣的交往規則及政治語言不屑一顧，不會拐彎抹角或話中有話，甚至強硬與直接，也經常在有5,330萬粉絲追蹤的推特上宣傳意見。他的推文和開嗆往往都會成為頭條新聞，且顯然很對支持者和市場的胃口，成為他形塑強人形象的重要一環。 
其次，川普擅長口號和演說，將企業宣傳手法成功用於政治。企業經常以清晰、引人入勝的口號宣傳產品，川普將這種手法有效施展在政治領域上。他簡單易懂的談話風格，容易與許多選民產生連結。 
第三是川普頻頻對媒體主動出擊。企業的聲譽至關重要，尤其是面對負面的媒體報導時，經常會全力爭取對聲譽的掌控權，過去「做生意的川普」和現在「從政的川普」一直都是這樣做。但川普與媒體的關係與之前的總統大不相同，且對媒體好惡分明，拒絕接受CNN提問，比較喜愛福斯電視網。 
最後是川普用生意人的方式處理貿易問題。自認是傑出「交易者」的川普，一心想要撕毀之前總統達成的協定，並採用有點激進的商業手法迫使其他國家同意新協定。他偏好與個別領導人打交道或是與個別國家談判，認為這是他「達成協議」的最佳方式。他覺得，美國若能以大企業姿態與小企業談判，就能取得優勢。","川普,鴻海,電視",聯合新聞網,https://udn.com/news/story/12950/3762243
郭台銘拜媽祖關公...得到答案,2019/4/18 01:27,要聞,鴻海董事長郭台銘近日思考是否參選總統，並透露評估參選與否會問「母親，媽祖和關公」，作為考慮的關鍵，遭批「不信科技信鬼神」。郭董昨（17）日在淡水武聖宮參拜關公時對此回應，「信仰可以明智明心明慧、人人都要有信仰」。,"鴻海董事長郭台銘近日思考是否參選總統，並透露評估參選與否會問「母親，媽祖和關公」，作為考慮的關鍵，遭批「不信科技信鬼神」。郭董昨（17）日在淡水武聖宮參拜關公時對此回應，「信仰可以明智明心明慧、人人都要有信仰」。 
他並透露，已故蘋果創辦人賈伯斯也有宗教信仰，更親眼目睹賈伯斯的葬禮採密宗黃教儀式。 
郭台銘昨日行程滿檔，一早前往板橋慈惠宮參拜進場時人潮擠爆，除了新聞採訪工作人員，板橋等地方民眾眾多導致現場寸步難行，郭台銘短短一小段路就走了超過5分鐘，場面相當混亂。 
郭台銘在參拜期間直言，「媽祖前幾天有託夢，要他出來為受苦受難的老百姓做好事，帶給台灣和平繁榮，他一定會遵照媽祖指示做」。隨後驅車前往淡水武聖宮參拜關公。 
郭台銘在參拜關公時說，「特地來請示關聖帝君開示」，信仰在美國也一樣，當年他是少數參加賈伯斯葬禮的華人及台灣唯一華人，下午基督教儀式後，才知道賈伯斯在印度幾年後是密宗黃教信徒，並親眼目睹其葬禮儀式。 
郭台銘也說，他過去在美國聖荷西住過，也曾接觸過密宗黑教，信仰是個人的事，大家說高科技沒有信仰，但他認為「大家都應該要有信仰」，相信不管如何宗教都是慈悲為懷希望把力量用在黎民百姓、替百姓做事。 
郭台銘強調，他是秉持這觀念來做這事情，我們祖先就是神，從過去賈伯斯到他離去至今，許多好萊塢很多高科技人士也有宗教信仰，「信仰可以明智明心明慧」。 
郭台銘參拜時提及在鴻海土城總部的關公分身座下的天機一直未對外透露，直到昨日再來參拜，秉持關聖帝君對忠義的詮釋，他希望賜與智慧、勇氣及決心，讓他能有機會站出來接受指示，替台灣土地上所有黎民蒼生做些事情。","賈伯斯,媽祖,鴻海",聯合新聞網,https://udn.com/news/story/12950/3762237
外媒：政壇旋風 牽動兩岸關係,2019/4/18 01:27,要聞,鴻海董事長郭台銘宣布投入國民黨黨內初選，角逐2020年總統大選，引起外國媒體爭相報導。英、美主要媒體預期此舉將為台灣政壇投下震撼彈，兩岸關係必將成為焦點；日經新聞則關心郭台銘是否將卸任鴻海董座，進而對鴻海和夏普營運造成影響。,"鴻海董事長郭台銘宣布投入國民黨黨內初選，角逐2020年總統大選，引起外國媒體爭相報導。英、美主要媒體預期此舉將為台灣政壇投下震撼彈，兩岸關係必將成為焦點；日經新聞則關心郭台銘是否將卸任鴻海董座，進而對鴻海和夏普營運造成影響。 
英國金融時報（FT）指出，郭董選總統可能在台灣政壇掀起大震撼，如同房地產大亨川普在美國政壇颳起旋風一般。報導提到，由於鴻海旗下富士康在中國大陸偌大廠區為蘋果公司組裝大多數的iPhone，以郭台銘與大陸商業關係密切來看，他參選總統將使兩岸關係成為重大議題，引發的爭議性或許不下於川普的商業利益衝突爭議。 
BBC則預期，郭台銘若明年1月代表國民黨出征，將對現任總統蔡英文的連任之路構成「重大挑戰」；如果郭董當選總統，他可望採取比蔡英文政府更親中的政策路線。屆時眾人關心的問題是：他能否為台灣利益做出對的事，即使此舉傷害鴻海利益也在所不惜？ 
紐約時報報導說，郭台銘加入總統大位角逐，將撼動明年總統大選競爭態勢，也將使此刻緊繃的兩岸關係成為焦點，郭董擁有雄厚財力、直接與華府和北京高層對話的人脈關係，以及成功企業經營者的背景，都將成為他加入國民黨黨內初選及與民進黨候選人競爭優勢。 
日經新聞報導，鴻海2016年收購夏普，但轉型至高附加價值自主品牌之路未竟其功，郭台銘如果在此時卸任，可能使夏普乃至於鴻海集團的經營陷入混亂。","鴻海,國民黨,兩岸關係,郭台銘,蔡英文",聯合新聞網,https://udn.com/news/story/12977/3762240
郭台銘參選 鴻海下一步？庫克也打電話關心,2019/4/18 00:08,要聞,根據路透台北記者的報導，鴻海集團董事長郭台銘表態參選總統，已引發國際事業合作夥伴的關切，包括蘋果執行長庫克。,"蘋果執行長庫克（左）與鴻海集團董事長郭台銘合照。圖／聯合報系資料照片 分享   facebook     根據路透台北記者的報導，鴻海集團董事長郭台銘表態參選總統，已引發國際事業合作夥伴的關切，包括蘋果執行長庫克。 
報導指出，一名知悉情況的鴻海公司內部人士透露，庫克十六日已聯繫郭董。他表示，庫克與郭台銘是廿、卅年的朋友，而且鴻海是蘋果產品的主要代工廠，打來關切是很正常的。 
日經新聞的駐台北記者分析指出，郭台銘參選也可能對鴻海經營造成影響，原因是郭台銘以獨斷經營而聞名，如果隨著參選而卸任，勢必對鴻海經營造成影響。 
郭台銘參選總統的消息，大陸也高度關注，包括人民日報、央視等大陸主要媒體昨天下午紛以快訊發出，並配以照片和影片。而郭董頭上的國旗帽，中華民國國旗多被陸媒打上馬賽克處理。 
","郭台銘,國旗,郭董,總統大選,庫克",聯合新聞網,https://udn.com/news/story/12977/3762274
蘋概今年來市值飆增2兆,2019/4/18 03:05,產經,"尖牙股（FAANG）重返榮耀，蘋果股價今年來自低點來強彈約四成，台灣蘋概股雨露均霑，整體市值飆升逾2兆元，其中，台積電貢獻1.19兆元最多，鴻海、大立光分別增加3,174億元、2,138億元居二、三位。","尖牙股（FAANG）重返榮耀，蘋果股價今年來自低點來強彈約四成，台灣蘋概股雨露均霑，整體市值飆升逾2兆元，其中，台積電貢獻1.19兆元最多，鴻海、大立光分別增加3,174億元、2,138億元居二、三位。 
蘋果去年iPhone新機太過高貴，加上新興市場貨幣貶值等因素，導致全球銷量不如預期，蘋果股價自去年7月下旬見到218.6美元高點後，一路走跌至年底，砍單傳言紛飛的蘋概股，出現近年難得一見的旺季不旺情形，「一顆蘋果救台灣」效應不再。 
今年來美中貿易戰出現轉圜、美國聯準會（Fed）轉趨鴿派立場，市場避險情緒降溫，FAANG領先反彈，加上股神巴菲特並未大幅賣股，蘋果在發表春季新品，並推出新串流影音服務後，再度獲得分析師喊進，近日股價重返200美元高檔，自低點142美元來已上漲約四成。 
在台股掛牌的蘋概股，則由大立光率先吹響反攻號角，從2,905元一路看回不回，最高漲至4,865元，主要受惠於市場預期非蘋、蘋果兩大陣營都將推出多鏡頭新機；台積電則在晶圓報廢、庫存調整的利空中，獲得外資回補，股價逼近去年第3季高點。","蘋果,台積電,蘋概股",聯合新聞網,https://udn.com/news/story/7240/3762227
