TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
交大今舉辦校園徵才 釋1萬7千個職缺,2019/3/9 22:28,生活,經濟部首度推出5加2產業徵才博覽會，昨天首場在桃園有103家廠商擺攤，釋出2千多個工作機會，半數職缺薪資達4萬元，更有企業提供10萬元誘人月薪，求職投遞履歷者不少；國立交通大學今天舉辦Open House校園徵才博覽會，為竹市首場大學就博會，共250家企業釋出1萬7千個職缺，歡迎青年學生把握機會求職。,"5+2產業徵才博覽會首場在桃園登場，有不少青年到場求職詢問。 記者張裕珍／攝影 分享   facebook     經濟部首度推出5加2產業徵才博覽會，昨天首場在桃園有103家廠商擺攤，釋出2千多個工作機會，半數職缺薪資達4萬元，更有企業提供10萬元誘人月薪，求職投遞履歷者不少；國立交通大學今天舉辦Open House校園徵才博覽會，為竹市首場大學就博會，共250家企業釋出1萬7千個職缺，歡迎青年學生把握機會求職。 
首場5加2產業徵才博覽會包括仁寶電腦、台達電、大立光電、聯發科、晶元光電、南亞科、日月光、旺宏電子等知名企業都來設攤，提供包括電子、製程、軟體相關工程師等職缺，桃園在地的華電聯網近年專注發展通訊暨物聯網技術平台與資訊安全，也開出16個系統整合相關網路工程師職缺，Java工程師月薪可達10萬元，希望招募到桃園的優秀人才。 
交大校園徵才博覽會今天上午10點至下午4點在交大綜合一館B1停車場、管理二館旁停車場舉辦，交大學務長黃美鈴說，參與徵才的有科技大廠台積電、聯發科、聯電、鴻海等，還有新創科技涵蓋遊戲、5G、AI、機器人、穿戴裝置、行動支付、虛擬實境、雲端服務等，也有網購電商、食譜教學網站、影視平台與論壇平台，如愛奇藝、MixerBox、Dcard、icook、蝦皮、Pinkoi等，非常多元。 
市府勞工處長黃錦源說，市府與勞動部、全市5所大學及企業舉辦校園就業博覽會，希望媒合年輕人找到理想的工作，市府也結合中央與產業資源，規劃多元職訓及徵才活動，提供多樣化職涯發展選擇。","交大,停車場,求職",聯合新聞網,https://udn.com/news/story/7269/3687847
蘋果台系200大供應商 臻鼎、TPK逆勢揚,2019/3/8 10:34,股市,蘋果公布2019年200大供應商名單，至少46家台廠名列其中，惟受到美股道瓊工業指數重挫200點影響，台股今（8）日開...,"蘋果公布2019年200大供應商名單，至少46家台廠名列其中，惟受到美股道瓊工業指數重挫200點影響，台股今（8）日開盤一度大跌百點，名列蘋果200大供應商的台廠也受到拖累，股價幾乎全數下跌，僅少數如臻鼎-KY（4958）、TPK-KY逆勢走高。 
相比去年台廠新進4家公司，包含和碩集團旗下復揚科技、金箭印刷、臻鼎-KY、TPK-KY子公司京嘉光電，受到利多激勵，今日臻鼎、TPK-KY逆勢走揚，早盤皆上漲近1％，和碩則小跌，金箭印刷則未上市櫃。 
至於被移出的8家台灣供應商，包含谷崧精密、臻鼎子公司鵬鼎國際、兆利科技、久威股份、新至陞、白金科技、建準電機、明安。今日幾乎全數下跌，僅兆利、鵬鼎國際母公司臻鼎仍維持上漲局面。 
值得一提的是，儘管鵬鼎國際名字被移出200大供應商，但鵬鼎旗下位於深圳、秦皇島、淮安之廠區目前皆列入蘋果公司200大供應商名單之中，顯見鵬鼎仍在200大供應商之中。 
不過，從今日台系蘋果200大供應商股價表現來看，個股並未出現大幅度漲跌，主要還是與台股大盤走弱有關。歐洲央行（ECB）延遲升息並向銀行提供新一輪低成本貸款，對經濟前景的悲觀預測加劇投資人對全球經濟成長放緩的疑慮，導致道瓊工業指數收跌200.23點或0.78%，標普500指數、那斯達克指數皆走跌，也拖累今日台股開盤重挫百點。 
今年有42家持續留在榜內的台系200大蘋果供應商，包含日月光、鴻海、和碩、英業達、緯創、廣達、仁寶、台積電、大立光、玉晶光、奇鋐、華通、嘉聯益、可成、正崴、達方、台達電、順達科、台郡科、景碩、光寶科、美律、良維、立訊、南亞科、致伸、瑞儀、新日興、新普、精元、台灣穗高、TPK、國巨、鈦鼎、健鼎、欣興、燿華、明翔科技、華殷磁電、先鋒、正隆、正美。","臻鼎,蘋果,TPK",聯合新聞網,https://udn.com/news/story/7250/3684787
三星S10系列開紅盤 郭明錤點名4檔台股可受惠,2019/3/7 11:22,股市,三星點燃今年上半年旗艦機戰火，Galaxy S10系列預購表現優於預期，天風國際證券分析師郭明錤上修出貨預估30%，預...,"三星Galaxy S10系列預購表現優於預期。 美聯社 分享   facebook      
三星點燃今年上半年旗艦機戰火，Galaxy S10系列預購表現優於預期，天風國際證券分析師郭明錤上修出貨預估30%，預估將達4000~4500萬支，同時點名台廠供應鏈GIS-KY業成、大立光、雙鴻、超眾將可望受惠，各概念股今(7)日股價則是漲跌互見。 
郭明錤最新報告上修三星 Galaxy S10系列總出貨量預估，根據調查顯示，S10系列全球預購需求較S9系列成長30–40%，因此上修S10系列出貨預估30%，自原本的3,000~3,500萬支，調高至4,000~4,500萬支，其中S10+、S10出貨量將共占約85%以上。 
郭明錤指出，S10系列零組件的關注焦點包括超聲波屏下指紋、及三鏡頭，其他主要受益行業包括熱導板、OLED RFPCB、前雙攝像頭；他點名，台廠供應鏈中業成、大立光、熱導管的雙鴻及超眾將受惠。 
S10系列預購開紅盤，有助台廠供應鏈營運，不過，今日股價表現不同調，業成早盤開低走高，以114.5元開低後翻紅，盤中一度拉升到118.5元；股王大立光也是開低走高的表現，早盤以4480元開出，一度拉升至4530元，盤中漲幅0.44%。；不過，雙鴻、超眾則是下跌。","雙鴻,郭明錤,三星,大立光,超眾",聯合新聞網,https://udn.com/news/story/7250/3682564
期貨風向球／歐元偏空布局,2019/3/9 13:55,股市,歐洲央行下調了歐元區今（2019）年GDP和通膨預期，並且稱至少在年底前將維持利率水準不變，而歐洲央行鴿派的程度遠超市場預期，令擔憂全球增速放緩的投資人找到新證據，目前歐元技術面創下波段低點，加上近期英國脫歐的紛擾，建議歐元期貨可偏空布局。,"統一期貨經理廖恩平。 圖／統一期貨提供 分享   facebook      
歐洲央行下調了歐元區今（2019）年GDP和通膨預期，並且稱至少在年底前將維持利率水準不變，而歐洲央行鴿派的程度遠超市場預期，令擔憂全球增速放緩的投資人找到新證據，目前歐元技術面創下波段低點，加上近期英國脫歐的紛擾，建議歐元期貨可偏空布局。 
受到歐洲央行下修2019年經濟成長預期，引發股市投資人擔憂，影響美股、亞股全面收跌，台股則在台積電（2330）、大立光（3008）走弱下，終場下跌69點，收在10,241點。 
技術面觀察，指數挑戰回補10月空方缺口失敗後，受到國際股市轉弱而同步下跌，目前受月線支撐短線有反彈契機，但若再次挑戰填補缺口失敗，需觀察2月20日多方發動的低點能否守住，否則指數有繼續向下修正風險。 
籌碼面部分，外資現貨賣超110億，期貨減碼2500口，其中，大額交易人與特定法人合計賣出7000口，外資淨多單降至5.6萬口。周選支撐與壓力落於10,200至10,300點之間，P/C Ratio降至1.27，整體籌碼維持中性偏多看待。 
綜合上述，歐洲央行鴿派程度超乎市場預期，令市場對全球經濟放緩找到新的證據，且外資賣超110億元，短線籌碼出現鬆動跡象，近期要突破年線難度較高，未來關注外資動向，操作可在關鍵價位防守或突破後追價。","外資,央行",聯合新聞網,https://udn.com/news/story/7255/3687018
技術指標／台股整軍輪動 向回檔績優股靠攏,2019/3/10 13:23,股市,歐洲央行（ECB）維持利率不變，且再推出新一輪定向再融資操作，引發市場對經濟成長放緩的擔憂，美股大跌200點，跌勢也蔓延至台股，周五台股下跌0.68%，雖早盤大跌百點，然在買盤承接力道強勁下，收盤仍守在月線之上，並留下影線。,"分享   facebook      
歐洲央行（ECB）維持利率不變，且再推出新一輪定向再融資操作，引發市場對經濟成長放緩的擔憂，美股大跌200點，跌勢也蔓延至台股，周五台股下跌0.68%，雖早盤大跌百點，然在買盤承接力道強勁下，收盤仍守在月線之上，並留下影線。 
在Fed維持寬鬆貨幣政策，加以外資期貨淨多單在5萬口以上，資金動能明確，隨著上市櫃公司陸續公布去年財報及股利政策，並釋出對今年景氣展望，台股高現金股息殖利率的優勢仍將受外資青睞。在價量架構未失控、外資期現貨部位未出現同步翻空之前，指數短線走跌可先以技術面修正，預期仍將維持高檔整理。 
2018全年外資賣超台股達3,548億元，終止連續六年買超。2019年開年首兩月，外資重新並且連兩月站回買方，2月份買超金額放大至647億元，未來台股能否維持漲勢，外資動向仍是重要參考指標。而櫃買市場OTC指數則在國際股市情緒依舊樂觀、資金回流新興市場、中小型電子類股仍具產業題材，在內外資持續作多之下，OTC指數今年頭兩月持續走揚。 
不過，近期OTC指數表現高檔震盪，但這對台股後續上攻來說未必不是件好事，投資人不必過度擔心，整體盤勢處於投機與投資並存，歐美在升息及縮表的進度上都符合鴿派預期，各個題材類股都有表現，類股輪動快速，建議持股策略盡量分散風險，擇優布局回檔績優股。 
選股策略上，基本面強勁、籌碼面乾淨的個股仍是布局重點，觀察5G帶動科技產業長期質變，大立光營運已於2月恢復年成長，台積電營運將於第一季落底，iPhone供應鏈營運將於第二季落底，加以整體籌碼有效沉澱且成熟市場資金回流使股市反彈，預期後續整體大盤仍有向上挑戰年線的機會。 
在外資持續偏多操作下，具長線成長趨勢之電子龍頭股以及高殖利率個股值得留意。電子股仍以今年具題材性之產業為主，包含5G、鏡頭、智慧音箱與藍芽耳機、散熱以及汽車電子等產業發展前景較佳，部分個股仍可逢低布局。AMD搭配台積電7nm製程，未來產品效能大幅提升，相關概念股值得留意。生技類股配合新藥研發進展與學名藥陸續推出，相關個股亦可逢低布局。",5G,聯合新聞網,https://udn.com/news/story/7251/3688444
"美股持續疲軟 台股下跌69點收10,241",2019/3/8 13:46,股市,美股持續疲軟，加以上海綜合指數今（8）日開盤後即挫低2.5%，影響原本疲軟的台股也隨之下跌，蘋概三王股盤中跌幅超過1%...,"今日台股指數收盤為10,241.75點，下跌69.93點，成交量為1,046.13億元。報系資料照 分享   facebook      
 
美股持續疲軟，加以上海綜合指數今（8）日開盤後即挫低2.5%，影響原本疲軟的台股也隨之下跌，蘋概三王股盤中跌幅超過1%，台股盤中指數跌逾百點，盤中指數向下測試月線支撐。台股指數收盤為10,241.75點，下跌69.93點，成交量為1,046.13億元，大盤指數守住月線，周線收黑，全周下跌147.42點。 
櫃買指數開低走高，櫃買指數收盤為136.37點，上漲0.08點，成交量308.49億元。 
蘋概三王股的台積電（2330）及大立光盤中跌幅也達2%，鴻海跌幅超過1%。日前交投熱絡的權值股中，穩懋、玉晶光、聯發科、環球晶、國巨與華新科等股早盤走勢疲軟，盤中則由低檔向上緩步翻揚。 
權值股今日表現弱勢，部分中小型股相對展現逆勢走揚，神盾、GIS-KY、瑞昱、雙鴻、橘子、旭富與祥碩等中小型股表現較佳。 
由於華為對美國政府提出法律訴訟，讓投資人擔心已有轉圜的中美貿易戰會橫生變數，導致漲多的陸股及台股出現回檔。 
陸股ETF指標的元大滬深300正2、富邦上証正2與國泰中國A50正2等盤中跌幅超過3%。 
日盛投顧表示，大盤指數低檔的月線與季線已翻揚中，中期低檔仍有不弱支撐，短線將以2月20日長紅K線作為觀察，而此處剛好有去年12月3日高點10,148，即10,100~10,200點附近有支撐，短線年線仍是壓力，即指數將在10,200~10,450點區間整理，多方漲多進行修正整理後將再伺機而動。 
櫃買指數年線壓力139點已近，屢屢無法上攻，加上短線KD技術指標已自高檔向下交叉，短線將回測月線135點附近支撐，重點類股在生技類。","櫃買指數,台股指數",聯合新聞網,https://udn.com/news/story/7250/3685297
台股收跌45.47點 三大法人賣超49.41億元,2019/3/7 15:12,股市,"台股今（7）日開高走低，主流股漲多拉回，大立光、鴻海收跌，台積電守平盤，終場以10,311.68點作收，下跌45.47...","台股今（7）日開高走低，主流股漲多拉回，大立光、鴻海收跌，台積電守平盤，終場以10,311.68點作收，下跌45.47點，成交1,076.53億元；三大法人賣超49.41億元，外資、投信及自營商全數賣超。 
統計三大法人買賣超情況，外資及陸資（不含外資自營商）賣超32.51億元，投信賣超0.89億元，自營商賣超（合計）16.01億元，其中自營商（自行買賣）賣超3.11億元，自營商（避險）賣超12.89億元。 
台股今日以10,359.47點小紅開出，一度拉升至10,367.98點，記憶體股走跌，蘋概三王表現也弱，大立光雖一度翻紅拉升至4,530元，但終場小跌5元作收，收在4,490元，台積電以平盤234元作收，鴻海收71.6元，下跌0.9元，大盤指數終場收10,311.68點，跌幅0.44%。","自營商,台積電",聯合新聞網,https://udn.com/news/story/7250/3683221
新蘋果鏈 46台廠上榜,2019/3/8 01:34,產經,蘋果公司7日公布2019年200大供應商名單，共有至少46家台廠入榜。新進榜台廠有和碩集團旗下復揚科技（Fuyang Technology）、金箭印刷（Golden Arrow Printing）、臻鼎科技、TPK-KY子公司京嘉光電（Xiamen Jan Jia Optoelectronics）。,"蘋果新供應商名單出爐，新進榜台廠有和碩集團旗下復揚科技、金箭印刷、臻鼎科技、TPK-KY子公司京嘉光電。 路透 分享   facebook     蘋果公司7日公布2019年200大供應商名單，共有至少46家台廠入榜。新進榜台廠有和碩集團旗下復揚科技（Fuyang Technology）、金箭印刷（Golden Arrow Printing）、臻鼎科技、TPK-KY子公司京嘉光電（Xiamen Jan Jia Optoelectronics）。 
蘋果發布的名單顯示，截至2018年底，美國新入列廠商名單包括貝迪（Brady）、賽普拉斯半導體（Cypress）、偉創力（Flex）、II-VI、科氏工業集團旗下的Molex。 
陸廠新入榜的有捷邦實業（J.Pond Industry）、利源精制（Jilin Liyuan Precision）、中石偉業（Jones Tech）、中國化工集團旗下正和集團（Zhenghe Group）。 
日商新進榜的有日立製作所與IBIDEN。南韓方面為Bumchun Precision、Daewoo Electronics，以及Young Poong Corporation。 
從此次供應鏈名單中，初步看和碩是大贏家，復揚科技為和碩與景碩合資的公司，生產PCB。 
包括鴻海、大立光、可成等都還是蘋果供應商。其中鴻海旗下35個據點都在名單上。 
蘋果6日也公布第13期年度供應商責任進度報告，開宗明義表示「我們做的一切，都以人優先」，強調該公司拓展教育的成果和環保達成的里程碑。報告指出，蘋果2018年在45個國家進行1,049次供應商評估，確保從從礦料開採到資源回收的每個環節都達成要求。 
蘋果執行長庫克在「蘋果供應商責任進度報告」中表示：「我們深切關懷參與製造產品的所有人，設下最高標準，確保每個人擁有尊嚴，獲得尊重。」 
庫克特別在導言中說明蘋果公司對供應鏈員工教育方案的努力，自2008年以來共有逾360萬人參與，學習新技能、獲得學位。 
此外，蘋果也提供健康和保健教育，協助員工提升身心健康。 
報告指出，蘋果2018年為供應商推出推出第二階段的Swift課程，使用Swif開發App強化培訓方案，許多參加者後來都在 IT相關領域升至更高的職位。 
環保方面，庫克指出，蘋果2018年所有iPhone、iPad、Mac、Apple Watch、AirPods和HomePod的供應商，均取得UL廢棄物零填埋認證；此外，供應商也節省76億加侖的淡水。","蘋果,庫克,和碩",聯合新聞網,https://udn.com/news/story/7240/3684455
台股收跌69.93點守住月線 三大法人賣超116.45億,2019/3/8 15:03,股市,"台股今（8）日開低，蘋概三王齊弱，僅靠中小型股及個股題材撐盤，盤中一度大跌逾百點，終場則以10,241.75點作收，下...","台股今（8）日開低。 本報系資料庫 分享   facebook      
台股今（8）日開低，蘋概三王齊弱，僅靠中小型股及個股題材撐盤，盤中一度大跌逾百點，終場則以10,241.75點作收，下跌69.93點，成交1,046.13億元，守住月線，周線收黑，下跌147.42點，跌幅1.42%；三大法人賣超116.45億元，三大法人全數賣超，外資大賣逾百億元。 
統計三大法人買賣超情況，外資及陸資（不含外資自營商）賣超110.35億元，投信賣超2.1億元，自營商賣超（合計）3.99億元，其中自營商（自行買賣）賣超9.47億元，自營商（避險）買超5.48億元。 
台股今日以10,274.28點開出，早盤一度下探至10,204.21點，大跌逾百點，台積電(2330)、鴻海、大立光都是下跌，觸控雙雄的GIS-KY、TPK-KY則是上漲表現，另外，光學股、連接器、生技股也有表現，縮小指數跌勢，終場收10,241.75點，跌幅0.68%。","自營商,三大法人",聯合新聞網,https://udn.com/news/story/7250/3685482
電金傳權值股其殺 元大台灣50反1湧入避險買盤,2019/3/8 11:42,股市,"元大台灣50反1（00632R）早盤湧入避險買盤，由於美股連三天拉回，道瓊失守26,000點，牽動歐股、亞股，同步面臨...","今日台股加權指數在電金傳權值股一面倒下，重挫逾百點，失守10,300點。聯合報系資料照／記者蘇健忠攝影 分享   facebook      
 
元大台灣50反1（00632R）早盤湧入避險買盤，由於美股連三天拉回，道瓊失守26,000點，牽動歐股、亞股，同步面臨短期回檔整理，台股加權指數也在電金傳權值股一面倒下，重挫逾百點，失守10,300點。 
歐洲央行（ECB）政策指引迅速轉向「鴿派」，保證停止生息至少至今年底前，引發全球經濟趨緩隱憂，歐美股市率先走跌，台股則在短線觸及高點10,416點後，回檔整理5個交易日，國際股市是時止跌後，台股有望維持高檔整理。 
觀察台灣50，今日電子、金融、傳產齊步下殺，其中台積電、大立光跌幅將近2%，上海商銀、富邦金、亞泥、中租、統一等股跌幅介於0.8～1.6之間。","台股,美股,台積電",聯合新聞網,https://udn.com/news/story/7250/3684952
