日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/03/01,"42,073,991","3,698,227,165",87.8,88.3,87.5,87.9,-0.2,"16,467"
107/03/02,"28,180,553","2,461,227,316",87.2,87.8,87.0,87.8,-0.1,"13,846"
107/03/05,"31,341,174","2,738,562,304",87.7,88.1,87.0,87.0,-0.8,"15,273"
107/03/06,"35,392,520","3,124,639,407",88.3,88.8,87.8,88.2,1.2,"14,546"
107/03/07,"44,181,640","3,940,688,349",88.6,90.1,88.3,88.5,0.3,"21,638"
107/03/08,"33,448,190","2,990,943,927",89.4,89.9,88.6,89.4,0.9,"14,864"
107/03/09,"87,372,802","8,001,130,684",91.0,92.3,90.3,91.9,2.5,"38,336"
107/03/12,"88,739,231","8,336,163,178",93.9,94.5,93.2,94.3,2.4,"35,226"
107/03/13,"86,118,224","8,235,473,275",95.0,96.5,94.8,95.2,0.9,"35,406"
107/03/14,"49,836,069","4,670,636,869",94.1,94.4,93.3,93.3,-1.9,"22,895"
107/03/15,"41,628,707","3,886,535,793",92.8,94.7,92.3,93.4,0.1,"16,211"
107/03/16,"71,628,333","6,668,268,394",94.1,94.1,92.8,92.8,-0.6,"17,413"
107/03/19,"29,752,391","2,763,669,263",92.6,93.5,92.4,92.9,0.1,"11,077"
107/03/20,"27,906,678","2,584,515,023",92.7,92.9,92.4,92.6,-0.3,"11,074"
107/03/21,"28,202,714","2,608,174,566",92.2,92.9,92.2,92.4,-0.2,"11,232"
107/03/22,"25,353,175","2,354,104,044",93.0,93.4,92.4,92.8,0.4,"9,287"
107/03/23,"58,645,094","5,331,385,445",91.0,91.6,90.4,90.4,-2.4,"28,472"
107/03/26,"32,305,086","2,905,271,284",89.7,90.3,89.7,90.2,-0.2,"15,108"
107/03/27,"30,083,466","2,740,851,377",91.0,91.5,90.7,91.2,1.0,"11,166"
107/03/28,"23,082,576","2,088,647,728",90.9,90.9,90.1,90.1,-1.1,"10,705"
107/03/29,"30,403,437","2,739,496,880",90.0,90.6,89.7,90.0,-0.1,"12,989"
107/03/30,"34,489,126","3,160,650,158",90.9,92.3,90.9,91.4,1.4,"14,874"
107/03/31,"136,508,837","12,140,468,093",90.1,90.5,88.0,88.5,-2.9,"80,522"
107/04/02,"54,717,977","4,835,468,263",88.5,89.4,87.5,88.1,-0.4,"28,316"
107/04/03,"59,828,974","5,215,608,752",87.1,87.5,86.9,87.2,-0.9,"28,728"
107/04/09,"57,130,701","4,977,483,453",86.6,88.0,86.5,87.4,0.2,"22,915"
107/04/10,"35,830,562","3,121,816,992",86.8,87.5,86.8,87.0,-0.4,"16,517"
107/04/11,"40,026,593","3,516,992,083",87.7,88.9,87.3,87.3,0.3,"18,662"
107/04/12,"39,294,009","3,419,821,772",87.1,87.5,86.8,86.8,-0.5,"18,312"
