日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/03/01,"859,927","3,297,706,395","3,710.00","3,920.00","3,700.00","3,900.00",205.0,"1,059"
107/03/02,"513,175","1,982,831,092","3,850.00","3,900.00","3,835.00","3,870.00",-30.0,589
107/03/05,"717,682","2,674,892,720","3,860.00","3,860.00","3,675.00","3,700.00",-170.0,920
107/03/06,"1,081,391","3,997,475,330","3,715.00","3,750.00","3,655.00","3,655.00",-45.0,"1,302"
107/03/07,"725,611","2,638,466,458","3,620.00","3,690.00","3,600.00","3,690.00",35.0,988
107/03/08,"436,676","1,622,951,340","3,700.00","3,760.00","3,685.00","3,715.00",25.0,583
107/03/09,"633,785","2,412,122,250","3,790.00","3,860.00","3,750.00","3,860.00",145.0,824
107/03/12,"766,482","3,051,251,460","3,995.00","4,015.00","3,940.00","3,955.00",95.0,893
107/03/13,"759,652","3,068,243,560","4,015.00","4,085.00","4,010.00","4,045.00",90.0,"1,000"
107/03/14,"572,843","2,286,694,455","4,000.00","4,035.00","3,960.00","3,960.00",-85.0,634
107/03/15,"810,527","3,113,118,680","3,870.00","3,895.00","3,785.00","3,785.00",-175.0,895
107/03/16,"902,428","3,360,500,000","3,805.00","3,840.00","3,690.00","3,690.00",-95.0,973
107/03/19,"560,452","2,069,900,480","3,710.00","3,720.00","3,655.00","3,710.00",20.0,667
107/03/20,"1,387,237","4,983,715,761","3,650.00","3,670.00","3,550.00","3,555.00",-155.0,"1,533"
107/03/21,"745,528","2,720,340,680","3,610.00","3,695.00","3,605.00","3,650.00",95.0,893
107/03/22,"966,628","3,534,418,360","3,705.00","3,760.00","3,570.00","3,595.00",-55.0,"1,123"
107/03/23,"1,011,553","3,483,692,850","3,450.00","3,510.00","3,400.00","3,400.00",-195.0,"1,548"
107/03/26,"669,053","2,324,017,090","3,410.00","3,510.00","3,410.00","3,500.00",100.0,846
107/03/27,"757,064","2,655,215,800","3,580.00","3,600.00","3,420.00","3,420.00",-80.0,"1,165"
107/03/28,"921,614","3,096,259,290","3,345.00","3,405.00","3,315.00","3,365.00",-55.0,"1,222"
107/03/29,"570,705","1,913,818,225","3,415.00","3,415.00","3,315.00","3,315.00",-50.0,969
107/03/30,"498,897","1,674,084,950","3,365.00","3,390.00","3,330.00","3,330.00",15.0,793
107/03/31,"119,514","399,137,180","3,350.00","3,365.00","3,315.00","3,350.00",20.0,241
107/04/02,"590,894","1,925,090,270","3,330.00","3,385.00","3,180.00","3,185.00",-165.0,"1,017"
107/04/03,"1,715,284","5,309,217,380","3,065.00","3,195.00","3,005.00","3,185.00",0.0,"1,975"
107/04/09,"1,242,694","3,845,847,900","3,140.00","3,225.00","3,000.00","3,000.00",-185.0,"1,467"
107/04/10,"1,372,490","4,328,857,822","3,005.00","3,250.00","3,000.00","3,250.00",250.0,"1,657"
107/04/11,"678,815","2,217,879,675","3,340.00","3,350.00","3,210.00","3,230.00",-20.0,885
107/04/12,"576,497","1,891,822,555","3,270.00","3,345.00","3,215.00","3,300.00",70.0,705
107/04/13,"2,397,756","8,101,711,560","3,380.00","3,525.00","3,230.00","3,460.00",160.0,"2,417"
107/04/16,"1,122,984","3,929,109,847","3,430.00","3,575.00","3,390.00","3,550.00",90.0,"1,358"
107/04/17,"1,239,636","4,423,469,620","3,525.00","3,645.00","3,475.00","3,580.00",30.0,"1,379"
107/04/18,"892,212","3,188,327,000","3,540.00","3,625.00","3,525.00","3,525.00",-55.0,"1,090"
107/04/19,"1,033,684","3,607,610,580","3,465.00","3,515.00","3,455.00","3,490.00",-35.0,"1,050"
107/04/20,"951,800","3,261,609,000","3,410.00","3,455.00","3,370.00","3,420.00",-70.0,987
